,age,gender,pref_party,position,representative
26732,21,f,SP,2,False
26813,45,m,GLP,4,False
27037, , ,FDP,6,False
27166,27,m,GLP,5,False
27184,29,m,GLP,2,False
27213,24,m,Keine,3,False
27231,36,m,Keine,6,False
27287,29,m,Keine,3,False
27342,54,m,GLP,3,False
27466,43,m,FDP,5,False
27864,32,m,Keine,5,False
27980,41,m,SP,1,True
28052,38,m,GLP,6,False
28132,34,m,Keine,5,False
28147,43,m,GLP,3,True
28234,29,m,Mitte,4,True
28432,38,m,GLP,4,False
28529,27,m,Keine,2,False
28560,20,m,FDP,5,False
28746,29,m,GLP,3,False
28817,41,m,Andere,5,False
28855,34,f,Keine,1,False
28895,39,m,Mitte,3,False
28917,68,m,SP,2,False
29012,35,m,SVP,6,True
29347,58,f,Grüne,2,False
29367,33,m,GLP,3,False
29531,53,f,Keine,5,False
29565,35,m,Grüne,2,False
29804,46,m,FDP,5,False
29902,39,f,Grüne,2,False
30035, , ,SP, ,False
30389,45,m,EVP,5,True
30390,38,m,GLP,2,True
30499,36,f,SP,2,False
30520,66,f,GLP,3,False
30626,29,f,Mitte,2,False
30864,27,f,SP,1,False
30895,44,m,SP,3,True
31094,27,m,Grüne,2,True
31200,48,m,Mitte,5,False
31246,57,f,Grüne,3,False
31260,27,m,GLP,4,False
31296,82,m,SP,3,False
31364,55,f,Keine,2,False
31409,51,m,FDP,5,True
31527,34,m,GLP,3,True
31551,69,m,SP,4,False
31630,57,m,Keine,5,False
31773,55,m,GLP,6,True
32048,48,m,Mitte,6,False
32169,39,m,SP,2,True
32170,52,f,Keine,4,False
32316,45,f,GLP, ,False
33007,31,f,SP,4,True
33074,27,f,Mitte,3,False
33445,46,x,Andere, ,False
33519,17,m,SVP,5,True
33565,42,m,Mitte,4,True
33787,24,m,Mitte,5,False
33839,35,m,FDP,5,True
33844,34,f,AL,1,False
34335,28,m,FDP,5,False
34474,49,m,FDP,5,False
34484,53,m,Mitte,2,False
34560,60,m,GLP,3,False
34563,28,m,GLP,2,False
34677,22,f,Keine,2,False
34697,24,f,FDP,3,True
34742,19,m,Mitte,5,False
34884,36,m,SP,2,False
35160,31,f,FDP,5,False
35180,22,m,Mitte,3,False
35694,57,m,Keine, ,False
36095,60,m,Keine,3,False
36544,66,m,Keine, ,False
36809,43,m,Keine,4,False
36811,40,m,SP,2,False
36942,62,m,Mitte,5,True
37050,28,m,SP,1,False
37126, , ,Mitte,5,True
37237,53,m,FDP,5,True
37516,30,m,GLP,3,True
37577,35,f,SP,1,False
37788,25,m,Keine,5,False
37971,61,m,GLP,4,False
38012,29,m,SP,1,False
38071,60,m,GLP,4,False
38072,42,m,FDP,6,True
38426,45,m,Grüne,1,False
38486,43,m,FDP,5,False
38524,28,m,FDP,5,False
38552,47,m,FDP,3,False
38641,49,m,Keine,3,False
38767,62,m,SP,3,False
38858,42,m,Mitte,5,False
39214,34,m,GLP,3,False
39221,32,f,FDP,5,False
39463,48,m,GLP,4,False
40124, , ,FDP, ,False
40140,27,f,SP,1,False
40389,72,m,Grüne,3,False
40405,69,m,SP,3,False
40418,57,m,Grüne,7,False
40615,48,m,Keine,3,False
40618,69,f,Keine,4,False
40662,31,m,SP,2,False
40719,61,m,FDP,5,False
40732,61,m,Keine,5,False
40762,33,f,Grüne,2,False
40801,62,m,Grüne,2,False
40916,27,m,SP,2,False
41227, , ,Keine,4,False
41406,37,m,Grüne,3,False
41628,24,m,SP,2,True
41986, , ,GLP,5,True
42509,36,f,Mitte, ,False
42630,28,m,SVP,7,True
42754,51,f,Keine,2,False
42755,59,m,FDP, ,False
42759,61,m,Lega,6,False
42831,34,m,SP,2,False
42834,29,m,Mitte,5,True
42878,39,m,SP,1,False
42934,55,m,Mitte,6,False
43015,32,m,SP,3,False
43084,32,m,FDP,5,False
43201,48,m,FDP,6,False
43214,18,f,GLP,2,True
43335,50,f,Keine,6,False
43925,52,m,FDP,5,False
44170,36,f,Keine,4,False
44278,52,m,Keine,6,False
44409,23,m,GLP,3,False
44504,57,f,Keine,3,False
44546,33,f,Mitte,5,False
44761,21,f,GLP,3,False
44857,36,m,GLP,4,False
44862,35,m,Keine,4,False
45046,35,m,GLP,5,False
45054,26,f,SP,1,False
45251,25,m,GLP,3,False
45497,36,m,Andere,3,False
45660,45,m,SP,3,False
45728,34,m,SP,1,False
45909, , ,GLP,2,False
46155, , ,GLP,3,True
46254,28,m,GLP,5,False
46449,31,m,GLP,3,False
46561,23,m,Keine,5,False
46610,58,m,FDP,5,False
46710,23,f,SP,1,False
46740,40,m,SP,2,False
46745,18,m,SP,2,False
46926,65,m,GLP,6,False
47100,28,m,Keine,4,False
47125, , ,SP,1,False
47252,24,m,SP,1,False
47273,39,m,FDP,5,True
47498,18,m,Keine,2,False
47617,60,m,Keine,3,False
47619,66,m,GLP,3,False
48171,45,m,EVP,3,False
48533,40,f,Mitte,4,False
48872,56,m,Keine,7,False
49096,45,m,Keine,5,False
49278,35,m,Mitte,5,True
49866,51,m,GLP,2,False
50275,62,m,FDP,6,True
50294,30,m,Grüne,3,True
