,age,gender,pref_party,position,representative
461849,24,m,Keine,3,False
461935,28,m,SP,2,False
462081,27,m,Keine,5,False
462298,29,m,Keine,3,False
462417,32,m,SP,1,True
462430,32,m,SP,1,False
462735,47,m,SVP,5,True
462798,41,f,Mitte,3,False
463369,27,m,SVP,6,True
463416,26,m,GLP,3,False
463545,54,m,FDP,5,False
463784,27,m,SP,2,False
464203,31,m,AL,1,False
464302,57,m,SP,2,False
464313,25,m,SVP,7,True
464349,45,m,Grüne,2,False
464456,38,f,SP,1,False
464516,38,m,Grüne,3,True
464646,62,m,Keine,4,False
464651,49,m,FDP,5,False
464848,37,f,Keine,3,False
464907,24,f,Grüne,1,False
465173,47,m,FDP,6,True
465258,45,m,FDP,5,False
465323,32,m,Keine,3,False
465355,22,m,GLP,2,False
465367, , ,FDP,6,True
465371,44,f,GLP,3,False
466644,27,m,Keine,4,False
466688,43,m,GLP,4,True
466691,40,m,GLP,4,False
466712,23,m,SP,1,False
466723,62,m,Mitte,4,False
466913,33,m,GLP,3,False
467067,44,m,GLP,3,False
467188,40,none,AL,1,False
467536,29,f,FDP,2,False
467623,27,m,SVP,6,True
467847,48,f,GLP,3,False
468293,66,m,Keine,4,False
468341,55,m,FDP,5,False
468442,66,m,FDP,5,True
468905,33,m,SP,4,False
469090,77,m,SP,6,False
469247,50,m,Keine,4,False
469331,45,f,Mitte,5,False
469402,57,m,Mitte,4,False
469428,19,m,Keine,4,False
469438,42,m,Grüne,2,False
469458, , ,Keine,6,False
469584,46,f,Grüne,2,True
469662,43,m,Grüne,2,False
469927,26,m,SP,2,True
470286,30,f,SP,1,False
470575,36,m,Mitte,3,False
470868,23,m,GLP,3,False
470924,47,m,FDP,6,False
470949, , ,Keine,5,False
470973,42,m,SVP,5,True
471014,33,f,SVP,7,True
471067,42,m,SP,1,False
471158,26,f,Grüne,2,True
471162,42,m,GLP,5,False
471353,59,m,FDP,5,True
471607,19,m,Mitte, ,False
471678, , ,SVP,5,True
471820,26,m,SP,3,False
471894,37,m,GLP,5,False
471912,52,f,SVP,6,True
472098,74,f,SP,2,False
472324,54,none,FDP,6,True
472382,43,m,SVP,6,True
472395,37,m,SP,2,False
472579,45,f,SP,2,False
472758,70,m,SP,2,True
472838,46,m,FDP,6,False
472949,35,m,FDP,5,True
472964,28,m,SP,2,False
473011,31,m,FDP,5,False
473116,23,m,SP,1,False
473225,31,m,SP, ,False
473292,30,m,SP,2,True
473477,64,f,EVP,4,True
473478,26,m,Mitte,5,False
473515,28,m,SP,1,False
473527,30,f,SP,1,False
473560,60,m,Keine,2,False
473624,35,m,SP,3,False
473817,44,m,SP,2,False
473827,52,m,GLP,3,False
473836, , ,Keine,6,False
473934,45,f,Keine, ,False
474016,65,m,FDP,5,True
474020,65,m,Mitte,4,False
474046,36,f,Keine,1,False
474064,56,m,GLP,4,False
474084,19,m,Grüne,2,False
474292,52,m,FDP,6,False
474368,34,m,SP,3,False
474448,53,m,FDP,3,True
474637,20,m,Keine,5,False
474767,61,f,SVP,7,True
474771,58,m,GLP, ,True
474789,53,m,Mitte,4,False
474894,31,f,Grüne,2,True
474933,32,m,Grüne,2,True
475115,40,m,FDP,6,False
475150,43,m,Keine,3,False
475189,27,f,SP,1,False
475203,31,m,Keine,4,False
475239,28,m,Mitte,4,False
475557,65,m,FDP,7,False
475588,30,f,Mitte,4,False
475603,52,m,SP,1,False
475769,55,m,Keine,4,False
475845,62,m,Grüne,2,False
476018,64,m,Keine,2,False
476095,48,m,FDP,6,False
476100,43,m,GLP,3,False
476349,55,f,Keine,1,False
476368,61,m,SVP,5,True
476425,48,m,Keine,4,False
476440,48,m,GLP,2,False
476463,33,f,SP,1,True
476499,18,m,Keine,4,False
476652,53,m,SVP,7,True
476726,30,m,Keine,4,False
476975,38,m,Keine,2,False
477246,47,m,Keine,4,False
477274,59,f,Mitte,4,False
477295,51,m,SP,3,False
477942,65,m,Keine,4,False
477951,47,f,SP,2,True
478047,37,m,AL,1,False
478083, , ,Keine,4,False
478205,27,m,Keine,5,False
478534,38,m,GLP,5,False
478708,37,f,SP,2,False
478798,45,m,EVP,4,False
479278,23, ,SVP,7,True
479350,43,m,GLP,5,False
479479,53,m,SVP,5,True
479747,21,m,SP,2,True
479771,20,m,Grüne,2,False
480199,54,m,SVP,6,True
480231,37,m,SVP, ,True
480281,61,m,GLP,4,False
480588,31,f,SP,2,False
480782,56,f,FDP,6,False
480874,47,m,FDP,5,False
480956,22,m,Keine, ,False
481149,30,m,Keine,5,False
481192,26,m,GLP,5,False
481370,68,m,FDP,5,False
481792,33,m,SP,2,False
481931,60,m,GLP,4,False
481950,27,m,GLP,3,True
482058, , ,Keine, ,False
482126,30,f,EVP,5,False
482619,47,f,Grüne,1,False
482725,57,m,GLP,5,False
482803,56,m,Andere,3,False
482999,44,m,SP,1,True
483410, , ,GLP,3,False
483582,44,f,Keine,3,False
483760,30,f,Keine,3,False
483808,33,m,SP,2,True
483975,40,m,Grüne,2,False
484133,18,f,FDP, ,False
484230,33,f,Keine,2,False
484357,57,m,Keine,3,False
484445,34,m,AL,1,False
484487,61,m,FDP,4,True
484516,29,m,Keine,2,False
484698,28,m,Keine, ,False
484710,33,m,GLP,3,False
484736,21,m,FDP,6,False
484955,44,m,Keine,3,False
485075,42,m,Keine,4,False
485118,36,m,Grüne,1,False
485205,21,m,SP,1,True
485259,25,f,Keine,5,False
485494,22,none,Keine,2,False
485504,41,f,Andere,2,False
485518,62,f,SVP,6,True
485628,36,m,Mitte,5,False
485668,61,m,Grüne,2,False
485699,40,m,FDP,5,True
485758,44,m,SVP,6,True
485931,41,m,FDP,6,False
486140,47,m,Keine,5,False
486205,32,m,Grüne,3,False
486458,54,m,FDP,5,True
486567,42,m,SP,2,False
486579,34,f,Keine,2,False
486622,43,m,Keine,5,False
486671,56,f,SP,3,True
486878,26,m,GLP,3,False
486915,55,m,Mitte,4,False
487151,29,m,Mitte,5,True
487250,63,f,SP,1,False
487300,20,f,Grüne,1,False
487312,41,m,SP,2,True
487316,21,m,SP,2,False
487555,25,f,GLP,3,False
487675,27,m,SP,1,True
487826,21,m,SP,2,False
487828,14,f,SP,1,False
487971,23,m,Keine,2,False
487972,29,m,GLP,2,False
487977,32,m,Keine,5,False
488046,48,m,Mitte,5,False
488048,42,m,Grüne,3,False
488054,25,f,SP,1,False
488067,20,m,FDP,5,False
488184,71,f,SP,2,False
488194,46,m,Grüne,2,True
488214,55,m,FDP,5,False
488457,37,m,GLP,3,True
488464,25,m,GLP,4,False
488543,30,m,GLP,4,False
488590,35,f,SP,2,False
488612, ,f,Keine,3,False
489077,18,f,Grüne,1,True
489086,51,x,Keine,5,False
489150,35,m,FDP, ,True
489404,34,m,SP,2,False
489470,20,x,SP,1,True
489539, , ,EVP, ,False
489695,26,m,EVP,3,False
489705,62,m,Keine,4,False
489711,23,m,FDP,4,False
489759,60,m,GLP,3,True
489818,35,m,GLP,3,False
489853,56,f,Keine,7,False
489960,39,m,Keine,3,False
490127,66,m,Mitte,3,False
490137,45,m,Keine,3,False
490176,29,f,SP,2,False
490479,24,f,Keine,1,False
490534,40,m,Grüne,3,False
490657,69,m,Mitte,4,True
490826,31,f,SP,1,False
490862,42,m,Grüne,3,False
490879,60,f,SP,3,False
491043,47,m,Grüne,3,False
491210,42,m,Keine,4,False
491224,20,m,Keine,3,False
491426,35,m,Keine,3,False
491536,52,m,Keine,5,False
491547,43,x,SP,3,False
491562,31,m,Keine,3,False
491731,43,m,SP,1,True
491879, ,f,SP,3,False
492016, , ,Mitte,3,False
492050,27,m,GLP,2,False
492152,40,m,GLP,5,False
492177,60,m,GLP,5,True
492228,27,m,SP,2,False
492279,54,f,Keine,5,False
492506,21,f,SP,2,False
492573,73,m,Keine,4,False
492878,63,m,FDP,5,True
492947,23,m,SP,2,False
493008,30,m,SP,2,True
493040,22,m,SP,2,False
493046,29,f,SP,2,False
493050,67,m,Grüne,3,False
493065,47,f,EVP,5,True
493422,60,m,FDP,5,True
493621,39,m,Keine,4,False
493646,76,f,FDP,6,False
494053,23,m,Grüne,2,False
494239,63,m,Mitte,5,False
494341,31,m,FDP,5,False
494354,25,m,GLP,4,False
494458,64,m,Keine,3,False
494949,54,m,SP,3,False
495012,45,m,Mitte,4,False
495236,38,m,GLP,3,False
495368,34,m,SP,2,False
495370,26,m,Keine,3,False
495515,40,m,AL,1,False
495676,40,m,SP,3,False
496085,40,m,SP,2,False
496149,38,m,SP,2,False
496245,46,m,Mitte,4,True
496360,28,m,Grüne,1,True
496554,41,m,Grüne,2,False
496600,47,m,GLP,3,False
496988,51,m,GLP,2,False
497114,31,f,Keine,5,False
497233,52,m,GLP,3,False
497353,44,m,GLP,3,False
498192,26,f,Keine,5,False
498327,32,m,GLP,5,False
498477,40,m,SP,1,True
498863,30,m,GLP,3,False
498928,44,m,SP,2,False
499026,38,m,Mitte,4,False
499159,26,m,SP,3,True
499497,38,f,Grüne,1,True
499581,64,m,GLP,3,False
499694,27,f,Keine,5,False
499722,32,f,FDP,5,True
499759,44,f,SP,2,False
499998,28,m,GLP,3,False
500010,46,f,FDP,6,False
500033, ,m,FDP,5,False
500301,32,m,FDP,5,False
500421,44,f,Keine,4,False
500445,34,m,SVP,6,True
500824,25,m,SVP,6,True
500881,48,f,FDP,5,False
500942, , ,Keine,5,False
500993,49,m,Keine,5,False
501043,58,m,Keine,5,False
501112,34,m,GLP,3,False
501282,31,m,Keine,4,False
501675,51,f,Keine,3,False
502001,27,m,SVP,6,True
502182,56,m,GLP,4,False
502737, , ,FDP,5,False
502857,16,f,SP,2,False
503169, , ,Mitte,4,False
503529,21,m,SVP, ,True
503689,36,f,SP, ,False
503726,23,m,GLP,2,False
503727,40,m,Keine,4,False
503737,40,m,SP,3,False
503759,42,m,Mitte,1,False
503914, , ,Grüne,2,False
504222,46,f,Keine,4,False
504363,22,m,Grüne,1,False
504696,41,m,FDP,5,True
504720,38,m,Mitte,5,True
504973,46,f,SVP,6,True
505362,48,m,GLP,4,False
505502,67,m,Keine,4,False
506053,34,m,FDP,4,True
506065,42,f,Grüne,3,False
506101,53,m,Grüne,3,True
506323,24,m,GLP, ,False
506391,33,m,FDP,5,True
506421,24,m,SP,2,False
506510,20, ,SVP,7,True
506552,27,m,FDP,5,True
506670,69,m,GLP,2,False
506679,33,m,Keine,4,False
506788,43,m,Keine, ,False
507106,51,m,SVP,6,True
507212,59,m,SVP,5,True
507236,58,f,FDP,5,False
507257,29,f,AL,1,False
507373,59,m,Keine,4,False
507559,28,m,Mitte,5,False
507676,40,m,Keine,3,False
507739,27,f,Keine, ,False
507801, , ,FDP,6,False
507831,63,m,GLP,5,False
507832,43,f,SP,3,False
508000,39,m,GLP,4,False
508128,37,m,Mitte,4,False
508160,56,f,Keine,3,False
508320,41,m,SVP,6,True
508377,25,f,SP,2,False
508389,41,f,GLP,4,False
508586,34,m,SP,1,False
508672,36,m,SP,3,False
508856,26,m,GLP,3,False
508866,49,f,SP,2,False
508969,23,m,Andere,3,False
508990,21,m,PdA,1,False
509625,38,m,Keine,5,False
509690,56,f,GLP,2,False
509724,49,m,GLP,3,False
509847,45,f,SP,3,False
510278,38,f,Grüne,2,True
510504,20,f,Keine,4,False
510705,33,m,Keine,5,False
510793,25,m,EVP,3,False
510850,45,m,GLP,1,False
510954,38,m,AL,1,False
511137,49,f,SVP,6,True
511200,58,m,EVP,3,True
511239,32,f,FDP,5,False
511381,42,m,Keine,3,False
511406,38,m,Keine,4,False
511432,56,f,SP,3,False
511452,25,m,Keine,5,False
511575,30,m,GLP,3,False
511626,27,f,Mitte,3,False
511718,47,m,Keine,5,False
511745,70,f,SP,2,False
512030,57,f,Grüne,2,False
512083,59,m,Mitte,5,False
512151, , ,Keine,4,False
512398,29,m,SP,2,True
512403, , ,Keine,5,False
512609,56,m,Keine,4,False
512691,28,f,Keine,3,False
512717,42,m,Grüne,1,False
512797,30,f,Keine,3,False
513030,29,m,Keine,5,False
513102,61,m,Mitte,4,True
513118,56,f,SP,2,False
513284,32,m,Mitte,5,False
513354,36,m,Grüne,1,False
513360,61,m,SP,2,False
513454,27,m,Mitte,3,False
513538,33,m,GLP,4,False
513579,21,m,Keine,5,False
513761,66,m,Keine,3,False
514058,58,m,FDP,6,False
514082,37,f,Keine,4,False
514428,27,m,EVP,5,False
514435,50,f,Grüne,2,True
514696,60,m,GLP,3,False
514957,76,m,FDP,5,False
515213,51,m,Grüne,2,False
515365,52,m,EVP,3,True
515739,44,m,Grüne,1,False
515906,39,m,Keine,3,False
515970,43,m,Grüne,2,False
516122,27,f,FDP,6,False
516152, ,m,GLP,2,False
516198,45,m,GLP,3,False
516615,48,m,SP,2,False
517062, , ,SP,1,False
517199,54,f,SP,2,False
517214,56,m,FDP,4,False
517360,29,m,Mitte,4,True
517492,62,m,GLP,5,False
517530,40,m,Keine,2,False
517580,52,m,FDP,6,False
517748,43,m,FDP,5,False
518088, ,f,Keine,2,False
518151,61,m,Grüne,2,False
518182,23,f,SP,1,False
518461,42,m,GLP,5,False
518494,39,f,Grüne,2,True
518564,62,m,GLP,5,False
518604,43,f,GLP,3,False
518697, , ,Keine,3,False
518723,59,m,EDU,7,False
518726,54,m,Grüne,2,False
518816,59,f,SP,3,False
518844,31,f,SP,3,True
518857,43,m,FDP,7,False
518858,59,f,Grüne,3,False
518989,32,m,SP,2,False
519219,34,f,Keine,5,False
519245,55,f,SP,3,True
519307,17,m,Keine, ,False
519521,36,m,FDP,5,False
519715,19,m,Keine,4,False
519898,53,f,Grüne,3,False
519974,38,f,SP,2,False
520088,55,m,Mitte,5,True
520248,44,m,SP,2,False
520323,65,f,Mitte,3,False
520397,24,f,Keine,2,False
520414,32,f,SP,2,False
520792,49,m,SP,2,False
521428,42,m,Keine,4,False
521490,29,m,Keine,2,False
521564,35,m,Keine,2,False
521729,21,m,FDP,6,False
521849,28,m,FDP,5,False
521871,45,f,Keine,6,False
521978,35,f,FDP,5,True
522366,45,m,SVP,7,True
522456, , ,SVP,6,True
522609,45,m,GLP,3,False
522660,28,m,SP,2,False
522711,34,f,SP,1,False
522727, , ,Andere,6,False
523016,35,m,SP,1,False
523086,53,m,SVP,6,True
523495,75,m,Andere,3,False
523733,35,m,FDP,5,False
523897,37,m,SVP,7,True
524186,28, ,FDP,5,False
524244,55,m,GLP,3,False
524497,47,m,Grüne,2,False
524522,31,m,Keine,6,False
524642,19,m,SVP,6,True
525222,28,m,FDP,5,False
525328,29,f,Mitte,4,False
525336,21,x,AL,1,False
525406,17,f,Grüne,3,False
525656,27,m,Mitte,4,False
525723,42,m,GLP,3,False
525877,27,m,Andere,4,False
525999,48,m,FDP,6,False
526000,23,m,Keine,5,False
526157,35,f,GLP,2,False
526220,34,m,Andere,3,False
526301,62,m,Grüne,2,False
526403,19,m,Grüne,2,False
526486,43,m,Keine,2,False
526783,58,m,Mitte,4,True
526938,47,m,FDP,6,False
527153,34,m,Keine,5,False
527302,27,f,SP,1,False
527408,36,m,FDP,5,False
527572,20,m,Keine,4,False
527886,53,m,FDP,5,True
527891,53,m,FDP,5,True
527900,43,m,GLP,2,False
528092,59,f,Mitte,3,False
528515,41,f,SVP,5,True
528544,58,f,GLP,2,False
528865,37,m,Grüne,2,False
528904,36,f,Keine,5,False
528933,47,m,SP,3,False
528973,52,m,GLP,3,False
529047,63,m,GLP,3,False
529094,20,f,Mitte,4,True
529536,33, ,Grüne,1,True
529616,59,m,Mitte,4,False
529785,42,m,Keine,4,False
530181,36,m,SP,2,False
530525,54,f,Grüne,2,False
530772,41,m,SVP,7,True
530897,34,m,AL,1,False
531179,29,m,SP,7,False
531205,78,m,SP,2,False
531382,31,m,Keine,6,False
531397,47,m,Mitte,4,False
531514,48,f,Keine,3,False
531609,19,m,GLP,4,False
531629,37,m,SP,1,True
531792,42,f,SVP,6,True
531812,37,m,SP,2,False
531824,62,m,GLP,3,True
532226,15,f,Mitte,5,False
532721,53,m,GLP,3,False
532844,47,f,Grüne,2,False
532855,34,m,Keine,3,False
533074,49,m,Keine, ,False
533077,31,m,Keine,5,False
533328,39,m,FDP,5,False
533335,23,f,SP,1,False
533372,23,f,SP,1,False
533423,57,m,Keine,3,False
533437,28,m,FDP,5,True
533532,55,m,Grüne,2,True
533757,56,m,GLP,4,False
533769,48,m,SP,1,False
533881,38,f,SP,1,False
533900,37,m,EDU,5,True
533980,31,m,FDP,4,False
533988,36,m,GLP,4,False
534010,52,m,FDP,5,False
534129,56,m,FDP,5,False
534181, , ,Grüne,2,False
534370,48,m,EVP,3,False
534906,25,m,SVP,6,True
535109,44,m,SP,1,True
535248,56,f,Grüne,2,False
535440,38,m,GLP,3,False
535512,34,m,Mitte,4,False
535561,46,f,Grüne,1,False
535592,25,m,SVP,6,True
535704,27,m,SP,3,True
535726,51,f,Mitte,4,False
535787,34,m,Keine,4,False
535874,35,m,SP,3,False
536029,23,m,FDP, ,False
536570,20,m,Mitte,5,False
536598,36,m,Mitte, ,True
536633,22,m,Keine,3,False
536711,50,m,GLP,4,False
537163,54,m,Grüne,3,False
537268,54,m,Keine,4,False
537270,35,f,Grüne,2,False
537348,44,m,GLP,4,False
537420,48,f,Grüne,4,False
537500,49,m,GLP, ,False
537506,38,f,GLP,3,False
537548,60,f,Grüne,2,True
537885,36,f,SP,2,False
537888,25,m,Grüne,2,False
537961,51,m,SVP,7,True
537996,21,m,EVP,3,False
538153,30,m,GLP,4,False
538405,26,m,Grüne,1,False
538488,55,m,Keine,4,False
538751,28,m,Grüne,2,False
538840,48,f,SP,3,False
538841,52,m,Keine,5,False
538981, ,m,Keine,5,False
539145,44,m,AL,2,False
539155,34,f,SP,2,False
539696,36,m,FDP,5,False
540177,61,f,Keine,4,False
540207,30,f,SP,2,False
540492,25,f,SP,1,False
540809,28,m,FDP,4,False
541184,64,f,SP,2,True
541897,22,m,EVP,4,False
542192,37,m,GLP,3,False
542244,42,m,GLP,3,False
542422,66,m,Andere,4,False
542455,64,m,SP,2,False
542511,28,m,Keine,3,False
542927,52,m,Mitte,5,False
543006,46,f,Keine,5,False
543009,46,m,SVP,4,True
543112,50,m,Mitte,5,True
543337,68,m,Keine,4,False
543510, , ,SVP,1,True
543822,33,m,Andere,3,False
543833,24,m,FDP,5,True
543909,30,m,GLP,3,False
544143,38,f,SP,2,False
544194,59,f,GLP,2,False
544624,41,m,SVP,6,True
544682,56,m,GLP,3,True
544726,60,m,Grüne,1,False
544730,25,m,GLP,5,False
544884,28,f,Keine,1,False
544898,30,m,GLP,5,False
544899,35,f,Keine,3,False
545165,28,f,Keine,6,False
545436, ,m,GLP,4,False
545561,44,m,SP,2,False
545800,51,m,GLP,5,False
546059,25,f,SP,2,True
546342,46,m,Keine,3,False
546631,57,m,EVP,4,True
546715,29,m,Keine,1,False
546717,55,m,SP,2,False
546780,42,f,GLP,2,False
547114,29,f,SP,2,False
547213,65,m,SP,1,False
547347,27,m,Keine,6,False
547356,59,m,FDP, ,False
547399,34,f,GLP,5,False
547514,36,f,Grüne,2,False
547598,37,m,SP,3,False
547737,39,m,SP,2,False
547739,36,f,Keine, ,False
547750,31,m,SVP,6,True
547755,37,m,GLP,3,False
547880,34,m,SP,2,False
547896,39,f,Keine,2,False
547991,48,f,FDP,5,False
548285,55,m,Mitte,5,True
548554,57,m,SP,2,True
548627,23,m,Keine,4,False
548692,42,m,GLP,4,False
548747,44,m,SP,3,False
548834,56,m,SP,2,False
549198,44,m,GLP,3,False
549529,42,m,Keine, ,False
550450,53, ,SVP,6,True
550579, , ,FDP,6,False
550594,20,m,Grüne, ,False
550601,42,m,SP,2,False
550631,30,m,Keine,5,False
550669,47,m,Keine,2,False
550744,49,f,Grüne,2,False
550791,17,m,GLP,3,False
550879,49,m,SP,2,False
550969,26,m,SP,1,False
551042,38,m,FDP,4,False
551200,53,m,FDP,6,False
551220,18,f,Keine,4,False
551277,28,m,SP,3,False
551632, , ,SP,1,False
551640,55,f,FDP,4,False
551734,49,f,Grüne,2,True
551804,26,m,FDP,5,False
551889,26,m,Keine,2,False
551992,56,m,Keine,3,False
552146,55,f,FDP, ,False
552163,49,m,Andere,3,False
552182,29,m,FDP,5,False
552584,44,m,GLP,5,False
552593,24,f,SP,2,False
552868,60,m,Keine,5,False
553097,37,m,Keine,3,False
553221,60,f,SVP,6,True
553407,28,m,SP,2,False
553761,56,m,FDP,6,False
553852,43,m,Grüne,2,False
554288,32,m,GLP,4,False
554361,35,m,Keine, ,False
554658,54,f,SVP,5,True
555069,36,f,SP,2,False
555070,64,m,SP,2,False
555149,18,m,Grüne,1,False
555327,44,m,Grüne,2,False
555515,25,none,Grüne,1,False
555522,51,f,GLP,4,False
555563,39,x,AL,2,False
555700,39,f,Keine,4,False
555797,57,m,Keine,4,False
555873,39,m,Andere,2,False
556589,52,m,Mitte, ,False
556691,27,m,FDP,5,False
556801,53,m,FDP,4,False
557011,30,m,Grüne,1,False
557424,37,f,SP,1,False
557547,29,m,SP,1,False
557578,70,m,Mitte,3,True
557761,38,m,FDP,5,False
557938,41,m,Keine,5,False
558058,17,f,Keine,5,False
558139,51,m,SP, ,False
558202,35,m,SP,2,False
558353,42,m,GLP,5,False
558396,39,m,Keine, ,False
558872,55,m,FDP,5,False
559670,32,m,Keine,5,False
560318,36,m,SVP,7,True
560514,38,m,Keine,2,False
560695,17,m,SVP,5,True
560844,45,m,Keine,5,False
561000,16,f,GLP,6,False
561101, , ,SVP,7,True
561195,25,m,FDP,5,False
561378,54,f,GLP,3,False
561382,41,m,AL,2,False
561696,42,m,Keine,3,False
561729,67,m,SVP,5,True
561820,31,f,GLP,2,False
561901,30,m,Keine,3,False
562141,50,f,Keine,5,False
562359,43,m,GLP,1,False
563222,40,m,GLP,4,False
563244,54,f,Mitte,3,False
563389,46,f,Keine,4,False
563464,29,m,SP,3,True
563466,38,f,GLP,4,False
563909,46,m,Keine,1,False
563938,57,f,Keine,4,False
564355,18,m,Keine,4,False
564707,41,f,GLP,3,False
565113,38,m,Keine,6,False
565145,41,m,SP,2,False
565373,39,m,FDP,4,False
565463,23,m,GLP,3,False
565606,55,m,GLP,5,False
565642,36,m,FDP,6,False
565656,50,m,GLP,5,False
566130,48,m,Keine,4,False
566201,28,f,Keine,5,False
566202,29,m,GLP,3,False
566398,44,f,FDP,6,False
566862,20,f,GLP,3,True
567011,34,m,FDP,5,True
567030,43,m,Keine,4,False
567088,25,m,EVP,5,True
567185,33,m,Grüne,2,False
567297,63,m,SP,2,False
567379,43,f,Keine,2,False
567505,52,m,FDP,6,False
567560,23,m,Keine,3,False
567741,40,f,Keine,5,False
568208,34,m,Keine,3,False
568661,60,m,SP,3,False
568770,80,m,GLP,3,False
568839,35,m,SVP,5,True
568896,38,m,SP,3,False
568913,65,m,SP,3,False
568919,24,m,GLP, ,False
568938,46,m,FDP,6,False
568965,19,m,Keine,3,False
568972,172,m,GLP,2,False
569073,21,m,FDP,5,False
569075,35,m,Mitte,4,False
569077,54,m,GLP,4,False
569225,35,f,GLP,5,False
569247,28,m,Grüne,1,False
569249,32,f,EVP,2,True
569264,59,m,Mitte,5,True
569554,58,m,GLP,3,False
569624,17,f,GLP,3,False
569834,26,m,FDP,5,False
569968,25,m,Grüne,2,False
570081,25,m,FDP,6,False
570337,29,m,GLP,4,False
570375,22,m,SP,1,False
570417,36,m,Andere,4,False
570575, ,m,Keine,3,False
570632,27,m,GLP,3,False
570747,21,f,Keine,6,False
570825,34,m,PdA,1,False
570838,18,m,SP,1,False
570872,51,f,GLP, ,False
570963,33,m,SP,2,False
571023,44,f,GLP,3,False
571122,34,f,SP,2,False
571313,55,m,GLP,5,False
571393,28,f,SP,1,False
571755,17,m,GLP,2,False
571789, , ,SVP,5,True
571823,56,f,GLP,3,False
571943, , ,Mitte,4,True
572126, , ,SVP,6,True
572531,31,m,Grüne,1,False
572779, , ,FDP,5,False
572823,51,m,Keine,3,False
572987,24,m,SP,2,False
573122,73,m,Keine,4,False
573148,76,m,Keine,5,False
573220,18,f,SP,1,False
573277,49,m,SP,2,False
573412,48,f,Mitte,4,True
573443,37,f,SP,3,False
573643,50,m,FDP,7,False
573667,58,f,SP,2,False
573901,27,m,SVP,7,True
574172, , ,Keine,5,False
574271,35,m,Keine,4,False
574322,26,m,GLP,3,False
574328,69,m,Keine,3,False
574500,20,m,Keine,4,False
574651, , ,SP,3,False
574820,40,m,Keine,3,False
574838,24,m,Keine,5,False
574862,18,m,FDP,5,False
574957, , ,AL,2,False
574977,28,m,GLP,2,False
574993,28,m,Keine,4,False
575038,74,m,SP,2,False
575050,31,m,FDP,6,True
575067,34,m,Grüne,2,False
575138,48,m,SVP,6,True
575178,36,m,FDP,5,True
575246,32,m,SP,2,True
575273,50,m,SP,2,False
575349,38,m,GLP,3,False
575412,30,f,Grüne,1,False
575413,50,m,SP,2,False
575475,34,m,SP,2,False
575982,37,m,Keine,4,False
576079,47,f,Grüne,2,False
576185,57,m,Mitte,3,True
576564,40,m,FDP,5,False
576782,55,m,Keine,5,False
576833,59,f,Grüne,1,False
576846,51,f,GLP,4,True
576853,44,m,Keine,4,False
576900,34,m,SVP,5,True
576972,58,m,GLP,5,False
577010,41,m,GLP,5,False
577023,37,m,Keine,5,False
577143,29,f,Keine,3,False
577188,61,m,FDP,5,False
577211,32,m,SP,1,False
577417,47,m,Keine,5,False
577552,59,m,Grüne,2,False
577606,57,m,GLP,6,True
577660,36,m,GLP,3,False
577892,53,m,GLP,3,False
577900,33,m,Mitte,5,False
577981,27,f,SP,1,True
578061,23,m,Grüne,2,False
578062,51,m,GLP,4,False
578182,47,m,Keine,5,False
578253,22,f,SP,2,True
578387,32,m,GLP,4,False
578396,25,m,GLP,4,False
578399,35,f,Keine,3,False
578495,23,m,Grüne,3,False
579068,42,m,Mitte,5,False
579309,28,m,FDP,5,False
579403,33,f,SVP,5,True
579601,32,m,SP,3,True
579650,31,f,SP,3,False
579756,16,f,SP,2,False
579806,35,m,GLP,3,False
580157,32,m,SP,3,False
580256,30,m,GLP,2,False
580608,45,m,FDP,6,False
580694,23,m,GLP,3,False
581353,56,m,SVP,6,True
581478,39,f,SP,1,False
581813,52,m,Andere,3,False
581983,38,m,SP,3,True
582271,23,m,SVP,7,True
582554,33,f,GLP,4,False
582716,31,m,Keine,3,False
583069,29,m,GLP,2,False
583095,25,f,SP,2,True
583125,31,m,Keine, ,False
583476,40,m,Keine,5,False
583492,32,f,Grüne,2,True
583623,19,m,Grüne,1,True
583669,34,m,AL,1,False
583902,58,m,FDP,6,False
584258,54,m,FDP,6,True
584541,34,m,SVP,6,True
584837, ,m,GLP,3,False
584938,43,m,SVP,6,True
585146,38,m,AL,1,False
585233,55,m,SP,2,False
585620,39,m,FDP,6,True
585869,70,m,Grüne,3,False
586885,39,m,EDU,6,True
587076,55,f,Grüne,3,False
587178,41,m,Keine,3,False
587412,64,m,Keine,6,False
587440,45,m,FDP,4,True
587678,57,m,SP,1,False
587909,30,f,GLP,5,False
588054,34,m,SVP,5,True
588719,40,m,AL,1,False
588819,45,m,GLP,5,False
588822,54,m,FDP,5,False
588893,33,m,Mitte,3,False
588900,63,m,GLP,3,False
588955,57,m,Mitte,4,False
588988,21,m,GLP,5,False
589026,62,f,SVP,6,True
589170,18,m,SVP,6,True
589302, , ,GLP,3,False
589404,26,m,SP,3,False
589589,68,m,GLP,5,False
589734,29,m,GLP,3,False
589788,28,f,Grüne,1,True
589791,29,m,FDP,5,False
589861,41,m,Keine, ,False
590188, , ,FDP,6,False
590324,38,m,GLP,4,False
590479,43,m,Grüne,2,False
590488,59,none,AL,2,False
590729,48,m,GLP,4,False
590819,38,m,Keine, ,False
590908,28,f,GLP,2,False
590928,33,m,SP,1,False
591013,63,m,GLP,5,False
591099,68,f,Keine,3,False
