candidates,party_short,color,list
3448,GLP,#32CD32,GLP
3450,JM,#C56C46,Mitte
3451,Parteilos,#888888,Übrige
3469,GLP,#32CD32,GLP
3474,SP,#FF0000,SP
3481,JGLP,#32CD32,GLP
3484,EDU,#00008B,EDU
3485,Übrige,#888888,Übrige
3493,GLP,#32CD32,GLP
3494,Grüne,#008000,Grüne
3500,GLP,#32CD32,GLP
3503,SP,#FF0000,SP
3529,GLP,#32CD32,GLP
3532,Die Mitte,#C56C46,Mitte
3535,JEVP,#FFA500,EVP
3555,Übrige,#888888,Übrige
3561,JEVP,#FFA500,EVP
3565,Grüne,#008000,Grüne
3572,SP,#FF0000,SP
3574,JEVP,#FFA500,EVP
3581,FDP,#0000FF,FDP
3585,GLP,#32CD32,GLP
3592,GLP,#32CD32,GLP
3593,Grüne,#008000,Grüne
3596,Die Mitte,#C56C46,Mitte
3603,JGLP,#32CD32,GLP
3604,EVP,#FFA500,EVP
3608,Grüne,#008000,Grüne
3633,PdA,#888888,Übrige
3639,JEVP,#FFA500,EVP
3645,GLP,#32CD32,GLP
3647,GLP,#32CD32,GLP
3648,JUSO,#FF0000,SP
3649,SVP,#4F7942,SVP
3655,Übrige,#888888,Übrige
3656,Die Mitte,#C56C46,Mitte
3660,JUSO,#FF0000,SP
3665,GLP,#32CD32,GLP
3666,Die Mitte,#C56C46,Mitte
3675,JG,#008000,Grüne
3682,Die Mitte,#C56C46,Mitte
3689,Übrige,#888888,Übrige
3694,GLP,#32CD32,GLP
3697,Übrige,#888888,Übrige
3701,Die Mitte,#C56C46,Mitte
3703,Übrige,#888888,Übrige
3706,GLP,#32CD32,GLP
3709,EVP,#FFA500,EVP
3719,GLP,#32CD32,GLP
3720,Die Mitte,#C56C46,Mitte
3728,JFS,#0000FF,FDP
3729,JM,#C56C46,Mitte
3741,Übrige,#888888,Übrige
3749,EVP,#FFA500,EVP
3755,SVP,#4F7942,SVP
3758,Grüne,#008000,Grüne
3760,Grüne,#008000,Grüne
3761,Parteilos,#888888,Übrige
3786,Grüne,#008000,Grüne
