candidates,party_short,color,list
1145,Übrige,#888888,Übrige
1150,JM,#C56C46,Mitte
1156,JSVP,#4F7942,SVP
1164,SP,#FF0000,SP
1172,JUSO,#FF0000,SP
1174,GLP,#32CD32,GLP
1176,JM,#C56C46,Mitte
1178,EDU,#00008B,EDU
1183,Grüne,#008000,Grüne
1196,Grüne,#008000,Grüne
1204,JSVP,#4F7942,SVP
1214,Übrige,#888888,Übrige
1231,JM,#C56C46,Mitte
1232,Parteilos,#888888,Übrige
1240,JG,#008000,Grüne
1242,EVP,#FFA500,EVP
1249,Parteilos,#888888,Übrige
1251,GLP,#32CD32,GLP
1265,SP,#FF0000,SP
1266,Übrige,#888888,Übrige
1268,EVP,#FFA500,EVP
1273,Die Mitte,#C56C46,Mitte
1282,JGLP,#32CD32,GLP
1290,GLP,#32CD32,GLP
1293,SP,#FF0000,SP
1297,FDP,#0000FF,FDP
1306,Parteilos,#888888,Übrige
1316,JG,#008000,Grüne
1328,Übrige,#888888,Übrige
1331,Die Mitte,#C56C46,Mitte
1334,SP,#FF0000,SP
1349,JSVP,#4F7942,SVP
1359,JM,#C56C46,Mitte
1368,GLP,#32CD32,GLP
1373,EVP,#FFA500,EVP
1374,Die Mitte,#C56C46,Mitte
1382,EVP,#FFA500,EVP
1391,Die Mitte,#C56C46,Mitte
1395,Grüne,#008000,Grüne
1396,Übrige,#888888,Übrige
1430,JUSO,#FF0000,SP
1433,JM,#C56C46,Mitte
1442,GLP,#32CD32,GLP
1453,GLP,#32CD32,GLP
1456,Übrige,#888888,Übrige
1458,SVP,#4F7942,SVP
1464,EDU,#00008B,EDU
1466,JM,#C56C46,Mitte
1471,Grüne,#008000,Grüne
1480,JG,#008000,Grüne
1497,SVP,#4F7942,SVP
1502,SVP,#4F7942,SVP
1505,JGLP,#32CD32,GLP
1531,EVP,#FFA500,EVP
1533,FDP,#0000FF,FDP
1538,JGLP,#32CD32,GLP
1553,JM,#C56C46,Mitte
1561,Übrige,#888888,Übrige
1564,EDU,#00008B,EDU
1569,SVP,#4F7942,SVP
1574,EVP,#FFA500,EVP
1575,JUSO,#FF0000,SP
1577,Übrige,#888888,Übrige
1585,SVP,#4F7942,SVP
1592,EVP,#FFA500,EVP
1596,JFS,#0000FF,FDP
1610,JFS,#0000FF,FDP
1611,GLP,#32CD32,GLP
1612,JGLP,#32CD32,GLP
1651,JSVP,#4F7942,SVP
1659,Die Mitte,#C56C46,Mitte
1665,SVP,#4F7942,SVP
1666,JGLP,#32CD32,GLP
1670,EVP,#FFA500,EVP
1682,Parteilos,#888888,Übrige
1694,SP,#FF0000,SP
1702,Übrige,#888888,Übrige
1706,JM,#C56C46,Mitte
1728,GLP,#32CD32,GLP
1733,JGLP,#32CD32,GLP
1740,SVP,#4F7942,SVP
1750,JG,#008000,Grüne
1754,Grüne,#008000,Grüne
1755,JUSO,#FF0000,SP
1760,Übrige,#888888,Übrige
1761,EDU,#00008B,EDU
1769,FDP,#0000FF,FDP
1770,FDP,#0000FF,FDP
1783,SP,#FF0000,SP
