,EDU,EVP,FDP,GLP,Grüne,Mitte,SP,SVP,Übrige
32214,0.3799754112193488,0.3508363413080544,0.06862805275204363,0.2617631598227399,0.32664265352472427,0.3826126776441505,0.10342396923796403,0.4061314102257638,0.37972136058998807
32215,0.3669592496573576,0.23716466447147275,0.12496694433368093,0.27597670317415285,0.20243003701074075,0.301842183525555,0.05563841250772003,0.22646399030279282,0.4308304235962266
32216,0.3559558195261674,0.16537602187590766,0.3405296912905679,0.3676466288267179,0.2762792726327592,0.17391180898663608,0.3045513424316059,0.43574687253866046,0.32222844199599887
32217,0.3746210206207189,0.36423900958159566,0.21453188373298315,0.3422912687953031,0.1904529375687638,0.3801539864274754,0.1492101926546568,0.4031825325299777,0.3879579405507299
32218,0.3701282878880639,0.32252220134431264,0.31079319719473875,0.2280410247703868,0.14286719720088314,0.3224868423501294,0.12612128377086504,0.2287829631000782,0.45251596441666897
32219,0.3634153368677594,0.2184711957996051,0.17494427608695756,0.336949872708488,0.17481777145789046,0.3454123770009466,0.03031527718752262,0.21370653985126928,0.4216445077421155
32220,0.2158492740106139,0.3428543252739366,0.27786296361120283,0.3383824891721323,0.3428622120630188,0.3455556719156362,0.3329911178651984,0.2829479171323299,0.3422495292323136
32221,0.2877990320141519,0.3375291097864732,0.17630865980417995,0.37390908859768,0.21890794536902616,0.3666779973003854,0.36480758916780753,0.22026692946430565,0.41293021642447475
32222,0.3779764035176821,0.2876865616209078,0.30980794446516086,0.3035681764791854,0.25111359125759347,0.29599688385376893,0.12089014790584265,0.3551460350327184,0.4110881979496692
32223,0.3520323389644305,0.2924461966475438,0.3288523061170442,0.21750947454542724,0.1943850647826458,0.26364098647818046,0.13939377552281612,0.27640232990775726,0.4365969343878668
32224,0.3283721712147405,0.3247567147822603,0.3341366136376583,0.2801807398627251,0.32485239445835723,0.30740594627410506,0.264269386153053,0.2906621773600908,0.4251813974990214
32225,0.30895719032666236,0.33275575252253664,0.3001630087719137,0.286853998958122,0.23778686191386122,0.3280555523664389,0.21535834099456522,0.29253976622811095,0.39738389630049326
32226,0.37242381093251126,0.36115755925730764,0.3452528024800186,0.2681833321099636,0.2639964698634929,0.3428992689928036,0.22623349009331267,0.2623413823598415,0.4187178946793119
32227,0.35684150345196475,0.18764117328340663,0.33294751159692243,0.22691868160928363,0.06467421574904626,0.273571892686006,0.03698863614652614,0.3214410499724132,0.35317438023891656
32228,0.2586874405903617,0.37510712199140794,0.31079319719473875,0.29541124192824003,0.2574110659731957,0.33318186848574544,0.1513026174072117,0.05804543252657151,0.4456772899231537
32229,0.31752276622426157,0.3015950273832603,0.3493213182659041,0.22416617272955355,0.22936036624965878,0.3423553078825228,0.20230498734564073,0.37287884670714855,0.34319686902576907
32230,0.3354101966249685,0.24620186360740404,0.2716072381275556,0.23487988132560605,0.16861096445933563,0.3039956170688856,0.16968657088381642,0.1743457800844158,0.4424694574535295
32231,0.17188791273808215,0.41472784071084806,0.36694819568755216,0.3062652030724403,0.17664867353310032,0.3968251250270868,0.07942753997979271,0.116090865053143,0.4478302670118982
32232,0.2578318691071232,0.35239446744034153,0.2547797962547021,0.23470818966649987,0.23575913149307295,0.3489353724380452,0.15027154341604815,0.41197947636840726,0.357525768756149
32233,0.03726779962499649,0.3029724566531025,0.29917036703860517,0.18753224696902338,0.23642988612978072,0.3802076053016979,0.3002900753492093,0.38078423119630717,0.39700328354165687
32234,0.0,0.36719515443415807,0.39312575376849124,0.3334864844249578,0.24305632162654292,0.3686739264933736,0.20127770419682367,0.07656718417652807,0.45195956821235833
32235,0.23929082934809892,0.36413872074751835,0.18893226103461258,0.11238838441230659,0.11309100445913141,0.23837231106078255,0.07102269586410684,0.435224637601322,0.38846758125783376
32236,0.3130172486937389,0.2868983429483966,0.1702041732827243,0.2727442114596769,0.22037284131487064,0.3233615863041832,0.16122972702210311,0.18430376991443248,0.4325156704615512
32237,0.4010717963888584,0.4304408625332665,0.05408363580192009,0.12307164103468106,0.21014335978143975,0.4120751582819078,0.09683350388033261,0.42778735554401603,0.36993330392200335
32238,0.3433164161763338,0.34438493254958313,0.07451588865881138,0.34517629093931895,0.16278561178865106,0.3436627575857604,0.14486321487066495,0.20062794503020764,0.4514406952177675
32239,0.33522192257329675,0.34165911233509966,0.19781995350108875,0.2796622951203925,0.20332213110268882,0.3327620675607511,0.2438434871251999,0.28801299012333514,0.42821549072109316
32240,0.4383019345822989,0.3599622402409063,0.09990741351100002,0.36584396163605853,0.19710746142993005,0.410325903324145,0.030315277187522617,0.22083979630814543,0.45100672022522215
32241,0.33971170189447464,0.2185046292982781,0.33406241876305914,0.22203401903121772,0.12886168170399998,0.31395790293003656,0.09754447894747466,0.38421955061237617,0.4154264551161728
32242,0.3487893926197304,0.36347612044751626,0.08449307576322568,0.26046632653443313,0.3587409948017529,0.34992710611188266,0.21775146217963937,0.3177512518328287,0.44066572644980295
32243,0.3711502731408469,0.3074718199381872,0.12141201687811393,0.26354353408582265,0.24688373088678114,0.29982871822754503,0.27466749585281136,0.22447152671837386,0.4148985754640258
32244,0.3958433013098986,0.3094138163866006,0.24217663814113696,0.3049989849244643,0.15319159276103925,0.33041719011407017,0.06259321407118505,0.27003086243366087,0.4434200575104799
32245,0.21423460188882804,0.32675247654098377,0.2660749428230847,0.28675092361012977,0.13653354630422979,0.29789941132459896,0.1177631487519763,0.1305699717401196,0.4206109309026635
32246,0.14257728721042082,0.3553669195336438,0.19702473625123937,0.2704485438316892,0.1738517208698863,0.37301645130950356,0.13462783703696468,0.10744939676949138,0.4449550356679131
32247,0.24126141570311382,0.334267041978369,0.19702473625123937,0.29813698850476217,0.2275890473046197,0.3169948615389567,0.14853718267801333,0.1427335494114229,0.4365202387417666
32248,0.3864007706456543,0.26125886488960226,0.2881690132927284,0.27105403010784046,0.3600838129055543,0.2625229909035754,0.31916401996746296,0.37480902594510596,0.38727475648819015
32249,0.2975064722154814,0.30282775914107496,0.2157608626878258,0.2501719394976293,0.14432015099962997,0.34684266211305637,0.14583777534102035,0.13230029959239395,0.458505477314364
32250,0.3180194390856692,0.24297637237302888,0.3161441410607236,0.21264880259219435,0.1481872445909548,0.215626918194723,0.06259321407118505,0.2533801146100151,0.41607073184268073
32251,0.34110263866028667,0.32855830686472937,0.3420791021240477,0.27794650018653627,0.20564546655605595,0.3182143415381571,0.3321600412143922,0.22540768695172583,0.3943775919913999
32252,0.32923618368348373,0.33899757349973714,0.3670382553761551,0.26643396387011764,0.18596540602860046,0.3215916090101578,0.22152668930418765,0.3682798581355703,0.3761454367799637
32253,0.30752350653357713,0.3112967719466489,0.2923536393642084,0.20282978302170754,0.1677290784510657,0.3031322366912542,0.10037244076773086,0.2559270448606499,0.4023243143237852
32254,0.36001192460609666,0.2794170114589663,0.33807008182047804,0.19471760752542785,0.1305092244159686,0.3654608649850439,0.13331260203672457,0.3541960639984887,0.3931949551142191
32255,0.27489667480379204,0.27315084445085813,0.2933693470192341,0.17113778278005837,0.09222946455051188,0.3028535120214608,0.07141080091668336,0.2421382918518927,0.4130555094610214
32256,0.3746210206207189,0.2522977622231604,0.28609707020540487,0.24614328206936206,0.17751456880048505,0.2768416026314239,0.15772007446912795,0.31395550528568755,0.42759663220157595
32257,0.37997541121934864,0.2288889153658879,0.35569700532629767,0.21577274512083236,0.04054556757764096,0.25900517907598636,0.05171198461898199,0.3683941988065036,0.4300313338024894
32258,0.34294844563525345,0.3007703993074771,0.16647375579846121,0.21459876881973797,0.3285226378076913,0.2632209116805002,0.2624327021580351,0.2698644463559587,0.4000710164231072
32259,0.31801943908566915,0.22316861551087686,0.34761406293911745,0.21750947454542724,0.19699265268622382,0.2782266587127993,0.15191790282403253,0.31270096862206676,0.42746610710940897
32260,0.3739463311571041,0.22764085745160004,0.3461849186269053,0.213632300670851,0.14136375557391428,0.2502212235255778,0.03031527718752262,0.37814271610944816,0.4534768282572261
32261,0.16244657241348273,0.3554696831688659,0.3291536829691608,0.31079471078701126,0.2636248650982481,0.34619555919106726,0.1760030089194527,0.10975039065068715,0.457761351083132
32262,0.12613124477737822,0.4137226521627453,0.2668501759291955,0.2881999488659146,0.2114669415642014,0.38078161942548294,0.1824037945839037,0.0,0.44822657405414035
32263,0.3599242344514391,0.29791526699946147,0.4282348814569603,0.30585249980012735,0.4066442622053777,0.3377307554568239,0.31158309376927096,0.30053112612804006,0.36945027607718267
32264,0.3126136157099891,0.3676126816147186,0.3299810500464245,0.34688494110684753,0.15428705863016012,0.33276206756075116,0.19779743506389352,0.193750634001803,0.42447207470903453
32265,0.2556186790727726,0.3244191414453505,0.3026849706098805,0.21234527137632664,0.3865850451120001,0.2984268229113004,0.37926677099647116,0.21785732697030205,0.35078471863975036
32266,0.33266979411902114,0.3602056773112751,0.33524756632149383,0.28979941878888393,0.40664426220537764,0.34235530788252255,0.27878755104563224,0.2561902089865907,0.411874772135995
32267,0.22374791912581296,0.36097547829828946,0.3065098820163304,0.3146106056084803,0.18331066315901873,0.3256231347262932,0.23749836344028963,0.4015636553178552,0.28192289633961887
32268,0.3506847558417645,0.18021434176046333,0.15639040492301015,0.15907638906393223,0.08109113515528193,0.1984235700435338,0.021516574145596757,0.26204153906216865,0.41554367063858916
32269,0.2028832574699454,0.2482700783230962,0.3329475115969223,0.1996244754546656,0.1553424415003,0.2777238011732913,0.13032467853506527,0.17650647944654257,0.3943492914110072
32270,0.3084459253886958,0.3541726823458524,0.19915208945161866,0.254612168564562,0.29825984747395456,0.3284281714983547,0.3061354364862663,0.34223021260357517,0.42771051245852315
32271,0.3729320083182494,0.21696135603840888,0.26681920985123475,0.20632416107359913,0.09719253239132293,0.23682800403362034,0.03698863614652613,0.24777763340433634,0.42541042062228085
32272,0.322552947654186,0.21598275561867822,0.21205255876427664,0.15206270093444965,0.08410398165205814,0.2136869215853442,0.03698863614652613,0.2609248186859374,0.4124655633008541
32273,0.2717786532523045,0.23781059757274395,0.3317541475007116,0.1897121821979374,0.14708052824535203,0.2635526053203237,0.09543186873329128,0.16742862662483107,0.4476127152540942
32274,0.34617389219345185,0.26392274005136906,0.35209834090928843,0.29804624095516796,0.3040025649954446,0.23773493939078078,0.24731777272887864,0.3291426009376811,0.33466974901997176
32275,0.1956295199884442,0.27651778439458286,0.08267730494543661,0.19626664728176643,0.23750104991978185,0.2086661938786529,0.18289082734344048,0.14740218252860393,0.39772494247925894
32276,0.2519866518831359,0.24048226635265127,0.16210939304879388,0.22516656679031546,0.19105206844507824,0.21593308930963215,0.0819107092489303,0.18324302276167453,0.39753911430524325
