,EDU,EVP,FDP,GLP,Grüne,Mitte,SP,SVP,Übrige
32214,0.5222222222222223,0.4650537634408602,0.9798387096774194,0.7810457516339869,0.18526785714285715,0.5034013605442177,0.022222222222222223,0.5589622641509434,0.2784090909090909
32215,0.4,0.8575268817204301,0.10887096774193548,0.6454248366013072,0.9174107142857143,0.6751700680272109,0.987037037037037,0.11084905660377359,0.6150568181818182
32216,0.7166666666666667,0.9435483870967742,0.6733870967741935,0.5228758169934641,0.859375,0.9336734693877551,0.6814814814814815,0.49764150943396224,0.7840909090909091
32217,0.31666666666666665,0.5887096774193549,0.8991935483870968,0.7549019607843137,0.06919642857142858,0.6938775510204082,0.03888888888888889,0.6698113207547169,0.26420454545454547
32218,0.2777777777777778,0.8010752688172043,0.1975806451612903,0.8480392156862745,0.96875,0.7448979591836735,0.9796296296296296,0.07311320754716981,0.5696022727272727
32219,0.35555555555555557,0.8064516129032258,0.06451612903225806,0.46568627450980393,0.9486607142857143,0.46258503401360546,0.9962962962962963,0.07783018867924528,0.6164772727272727
32220,0.06666666666666667,0.3629032258064516,0.13709677419354838,0.2647058823529412,0.3325892857142857,0.24489795918367346,0.6777777777777778,0.125,0.2528409090909091
32221,0.16111111111111112,0.7204301075268817,0.06854838709677419,0.43300653594771243,0.8348214285714286,0.29081632653061223,0.3888888888888889,0.07075471698113207,0.38920454545454547
32222,0.45555555555555555,0.260752688172043,0.7983870967741935,0.6176470588235294,0.12723214285714285,0.3333333333333333,0.027777777777777776,0.6438679245283019,0.35795454545454547
32223,0.8222222222222222,0.21236559139784947,0.6693548387096774,0.14705882352941177,0.16517857142857142,0.1377551020408163,0.08148148148148149,0.8655660377358491,0.4715909090909091
32224,0.2611111111111111,0.706989247311828,0.21774193548387097,0.6797385620915033,0.5558035714285714,0.3741496598639456,0.7388888888888889,0.17688679245283018,0.42045454545454547
32225,0.3,0.5860215053763441,0.25806451612903225,0.6323529411764706,0.8191964285714286,0.5391156462585034,0.8870370370370371,0.1650943396226415,0.5994318181818182
32226,0.5777777777777777,0.5,0.6814516129032258,0.2908496732026144,0.20758928571428573,0.47619047619047616,0.09444444444444444,0.8113207547169812,0.4431818181818182
32227,0.4777777777777778,0.9059139784946236,0.6612903225806451,0.8398692810457516,0.9821428571428571,0.7414965986394558,0.9944444444444445,0.28773584905660377,0.78125
32228,0.1111111111111111,0.3655913978494624,0.1975806451612903,0.7892156862745098,0.8883928571428571,0.26700680272108845,0.9574074074074074,0.014150943396226415,0.4630681818181818
32229,0.25555555555555554,0.7123655913978495,0.6451612903225806,0.8790849673202614,0.8928571428571429,0.5306122448979592,0.8740740740740741,0.28773584905660377,0.7414772727272727
32230,0.7,0.12096774193548387,0.75,0.13071895424836602,0.060267857142857144,0.1989795918367347,0.044444444444444446,0.9316037735849056,0.42045454545454547
32231,0.06666666666666667,0.5349462365591398,0.22580645161290322,0.7843137254901961,0.9441964285714286,0.3554421768707483,0.9851851851851852,0.02830188679245283,0.5397727272727273
