,FDP,GLP,EVP,Übrige,SP,Mitte,SVP,Grüne,EDU
7,2.7777777777777777,0.0,0.0,0.0,0.0,2.7777777777777777,88.88888888888889,0.0,5.555555555555555
26,0.0,25.0,16.666666666666664,5.555555555555555,27.77777777777778,5.555555555555555,0.0,19.444444444444446,0.0
111,0.0,8.333333333333332,5.555555555555555,8.333333333333332,13.88888888888889,0.0,0.0,63.888888888888886,0.0
189,0.0,11.11111111111111,13.88888888888889,38.88888888888889,0.0,33.33333333333333,0.0,2.7777777777777777,0.0
200,0.0,30.555555555555557,22.22222222222222,19.444444444444446,0.0,25.0,0.0,2.7777777777777777,0.0
240,0.0,91.66666666666666,0.0,5.555555555555555,0.0,2.7777777777777777,0.0,0.0,0.0
256,0.0,11.11111111111111,25.0,2.7777777777777777,38.88888888888889,16.666666666666664,0.0,5.555555555555555,0.0
295,63.888888888888886,0.0,0.0,2.7777777777777777,0.0,2.7777777777777777,30.555555555555557,0.0,0.0
321,0.0,0.0,0.0,13.88888888888889,50.0,2.7777777777777777,0.0,33.33333333333333,0.0
344,25.0,2.7777777777777777,11.11111111111111,11.11111111111111,0.0,33.33333333333333,16.666666666666664,0.0,0.0
375,0.0,2.7777777777777777,27.77777777777778,22.22222222222222,0.0,47.22222222222222,0.0,0.0,0.0
383,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
435,36.11111111111111,0.0,0.0,8.333333333333332,0.0,19.444444444444446,27.77777777777778,0.0,8.333333333333332
454,2.7777777777777777,8.333333333333332,11.11111111111111,41.66666666666667,0.0,13.88888888888889,5.555555555555555,8.333333333333332,8.333333333333332
458,86.11111111111111,2.7777777777777777,0.0,2.7777777777777777,0.0,5.555555555555555,2.7777777777777777,0.0,0.0
465,0.0,0.0,5.555555555555555,8.333333333333332,0.0,86.11111111111111,0.0,0.0,0.0
533,0.0,52.77777777777778,11.11111111111111,11.11111111111111,11.11111111111111,8.333333333333332,0.0,5.555555555555555,0.0
635,0.0,8.333333333333332,41.66666666666667,13.88888888888889,5.555555555555555,27.77777777777778,0.0,2.7777777777777777,0.0
658,0.0,16.666666666666664,16.666666666666664,19.444444444444446,2.7777777777777777,41.66666666666667,0.0,0.0,2.7777777777777777
661,88.88888888888889,0.0,2.7777777777777777,2.7777777777777777,0.0,0.0,5.555555555555555,0.0,0.0
749,94.44444444444444,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0
776,0.0,25.0,0.0,11.11111111111111,19.444444444444446,2.7777777777777777,0.0,41.66666666666667,0.0
785,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
912,0.0,30.555555555555557,2.7777777777777777,13.88888888888889,19.444444444444446,11.11111111111111,0.0,22.22222222222222,0.0
956,0.0,0.0,0.0,8.333333333333332,38.88888888888889,0.0,0.0,52.77777777777778,0.0
986,2.7777777777777777,8.333333333333332,30.555555555555557,27.77777777777778,0.0,27.77777777777778,0.0,2.7777777777777777,0.0
1026,0.0,5.555555555555555,0.0,2.7777777777777777,80.55555555555556,2.7777777777777777,0.0,8.333333333333332,0.0
1090,0.0,0.0,0.0,8.333333333333332,63.888888888888886,0.0,0.0,27.77777777777778,0.0
1114,0.0,13.88888888888889,27.77777777777778,8.333333333333332,27.77777777777778,8.333333333333332,0.0,13.88888888888889,0.0
1119,0.0,0.0,2.7777777777777777,8.333333333333332,66.66666666666666,0.0,0.0,22.22222222222222,0.0
1202,0.0,33.33333333333333,19.444444444444446,19.444444444444446,0.0,16.666666666666664,0.0,8.333333333333332,2.7777777777777777
1247,0.0,30.555555555555557,19.444444444444446,8.333333333333332,0.0,33.33333333333333,0.0,8.333333333333332,0.0
1347,5.555555555555555,5.555555555555555,5.555555555555555,27.77777777777778,0.0,36.11111111111111,5.555555555555555,2.7777777777777777,11.11111111111111
1432,0.0,2.7777777777777777,0.0,2.7777777777777777,91.66666666666666,0.0,0.0,2.7777777777777777,0.0
1566,2.7777777777777777,25.0,5.555555555555555,0.0,0.0,66.66666666666666,0.0,0.0,0.0
1623,0.0,13.88888888888889,16.666666666666664,8.333333333333332,50.0,0.0,0.0,11.11111111111111,0.0
1647,0.0,2.7777777777777777,41.66666666666667,25.0,0.0,30.555555555555557,0.0,0.0,0.0
1787,0.0,5.555555555555555,33.33333333333333,22.22222222222222,0.0,13.88888888888889,0.0,25.0,0.0
1988,0.0,5.555555555555555,33.33333333333333,19.444444444444446,11.11111111111111,19.444444444444446,0.0,11.11111111111111,0.0
2344,0.0,13.88888888888889,25.0,19.444444444444446,8.333333333333332,27.77777777777778,0.0,5.555555555555555,0.0
2377,0.0,19.444444444444446,16.666666666666664,0.0,25.0,5.555555555555555,0.0,33.33333333333333,0.0
2390,16.666666666666664,0.0,8.333333333333332,13.88888888888889,0.0,38.88888888888889,19.444444444444446,0.0,2.7777777777777777
2428,0.0,25.0,8.333333333333332,11.11111111111111,0.0,52.77777777777778,2.7777777777777777,0.0,0.0
2443,0.0,16.666666666666664,5.555555555555555,5.555555555555555,0.0,69.44444444444444,0.0,2.7777777777777777,0.0
2530,2.7777777777777777,36.11111111111111,8.333333333333332,11.11111111111111,0.0,38.88888888888889,0.0,2.7777777777777777,0.0
2641,0.0,61.111111111111114,2.7777777777777777,8.333333333333332,5.555555555555555,5.555555555555555,0.0,16.666666666666664,0.0
2759,0.0,2.7777777777777777,16.666666666666664,2.7777777777777777,0.0,77.77777777777779,0.0,0.0,0.0
2905,0.0,0.0,0.0,11.11111111111111,55.55555555555556,0.0,0.0,33.33333333333333,0.0
3013,0.0,33.33333333333333,13.88888888888889,5.555555555555555,0.0,36.11111111111111,0.0,11.11111111111111,0.0
3139,5.555555555555555,0.0,0.0,11.11111111111111,0.0,2.7777777777777777,77.77777777777779,0.0,2.7777777777777777
3368,0.0,5.555555555555555,13.88888888888889,36.11111111111111,5.555555555555555,33.33333333333333,0.0,2.7777777777777777,2.7777777777777777
3393,0.0,19.444444444444446,27.77777777777778,19.444444444444446,0.0,30.555555555555557,0.0,2.7777777777777777,0.0
3420,0.0,13.88888888888889,13.88888888888889,5.555555555555555,44.44444444444444,2.7777777777777777,0.0,19.444444444444446,0.0
3442,2.7777777777777777,5.555555555555555,19.444444444444446,19.444444444444446,0.0,36.11111111111111,2.7777777777777777,5.555555555555555,8.333333333333332
3455,0.0,2.7777777777777777,19.444444444444446,22.22222222222222,33.33333333333333,8.333333333333332,0.0,13.88888888888889,0.0
3518,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,94.44444444444444,0.0,2.7777777777777777
3571,0.0,2.7777777777777777,2.7777777777777777,2.7777777777777777,38.88888888888889,5.555555555555555,0.0,47.22222222222222,0.0
3613,0.0,0.0,0.0,5.555555555555555,0.0,2.7777777777777777,72.22222222222221,0.0,19.444444444444446
3662,11.11111111111111,8.333333333333332,5.555555555555555,25.0,0.0,25.0,25.0,0.0,0.0
3664,0.0,2.7777777777777777,22.22222222222222,5.555555555555555,61.111111111111114,0.0,0.0,8.333333333333332,0.0
3680,19.444444444444446,0.0,0.0,25.0,0.0,0.0,55.55555555555556,0.0,0.0
3695,2.7777777777777777,0.0,0.0,13.88888888888889,0.0,2.7777777777777777,72.22222222222221,0.0,8.333333333333332
3732,0.0,69.44444444444444,5.555555555555555,5.555555555555555,11.11111111111111,0.0,0.0,8.333333333333332,0.0
3775,0.0,94.44444444444444,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0
3777,0.0,0.0,0.0,8.333333333333332,52.77777777777778,0.0,0.0,38.88888888888889,0.0
3789,2.7777777777777777,97.22222222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800,0.0,25.0,2.7777777777777777,5.555555555555555,61.111111111111114,0.0,0.0,5.555555555555555,0.0
3942,0.0,63.888888888888886,2.7777777777777777,11.11111111111111,0.0,22.22222222222222,0.0,0.0,0.0
3952,0.0,13.88888888888889,2.7777777777777777,5.555555555555555,50.0,0.0,0.0,27.77777777777778,0.0
3954,0.0,97.22222222222221,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0
4001,0.0,13.88888888888889,22.22222222222222,19.444444444444446,13.88888888888889,13.88888888888889,0.0,16.666666666666664,0.0
4050,0.0,0.0,0.0,2.7777777777777777,63.888888888888886,2.7777777777777777,0.0,30.555555555555557,0.0
4137,30.555555555555557,22.22222222222222,5.555555555555555,5.555555555555555,0.0,36.11111111111111,0.0,0.0,0.0
4166,0.0,36.11111111111111,2.7777777777777777,5.555555555555555,19.444444444444446,0.0,0.0,36.11111111111111,0.0
4186,25.0,0.0,2.7777777777777777,13.88888888888889,0.0,5.555555555555555,30.555555555555557,0.0,22.22222222222222
4197,0.0,0.0,0.0,11.11111111111111,41.66666666666667,0.0,0.0,47.22222222222222,0.0
4223,0.0,19.444444444444446,2.7777777777777777,13.88888888888889,27.77777777777778,11.11111111111111,0.0,25.0,0.0
4242,0.0,11.11111111111111,30.555555555555557,5.555555555555555,11.11111111111111,36.11111111111111,0.0,5.555555555555555,0.0
4245,0.0,8.333333333333332,2.7777777777777777,0.0,47.22222222222222,0.0,0.0,41.66666666666667,0.0
4272,2.7777777777777777,91.66666666666666,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0
4292,22.22222222222222,0.0,2.7777777777777777,5.555555555555555,0.0,2.7777777777777777,61.111111111111114,0.0,5.555555555555555
4320,0.0,5.555555555555555,19.444444444444446,19.444444444444446,16.666666666666664,38.88888888888889,0.0,0.0,0.0
4452,0.0,0.0,8.333333333333332,22.22222222222222,0.0,19.444444444444446,19.444444444444446,0.0,30.555555555555557
4466,0.0,0.0,0.0,11.11111111111111,33.33333333333333,0.0,0.0,55.55555555555556,0.0
4476,0.0,47.22222222222222,22.22222222222222,2.7777777777777777,11.11111111111111,2.7777777777777777,0.0,13.88888888888889,0.0
4625,0.0,19.444444444444446,11.11111111111111,5.555555555555555,38.88888888888889,2.7777777777777777,0.0,22.22222222222222,0.0
4740,86.11111111111111,0.0,2.7777777777777777,0.0,0.0,8.333333333333332,2.7777777777777777,0.0,0.0
4780,0.0,47.22222222222222,19.444444444444446,11.11111111111111,5.555555555555555,11.11111111111111,0.0,5.555555555555555,0.0
4782,19.444444444444446,11.11111111111111,0.0,13.88888888888889,0.0,44.44444444444444,8.333333333333332,2.7777777777777777,0.0
4869,0.0,41.66666666666667,0.0,33.33333333333333,5.555555555555555,11.11111111111111,0.0,8.333333333333332,0.0
5042,0.0,27.77777777777778,8.333333333333332,0.0,47.22222222222222,11.11111111111111,0.0,5.555555555555555,0.0
5128,0.0,38.88888888888889,5.555555555555555,0.0,0.0,50.0,0.0,2.7777777777777777,2.7777777777777777
5212,33.33333333333333,13.88888888888889,2.7777777777777777,11.11111111111111,0.0,36.11111111111111,0.0,2.7777777777777777,0.0
