,User,RMSE,CRA,ModelVersion,TimeStamp,Queries,Neighbors,Predictions
0,374831,0.26,0.667,0,2025-02-23 05:56:24.864976,"['32214', '32216', '32217', '32219', '32220', '32221', '32225', '32226', '32228', '32229', '32230', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32250', '32252', '32257', '32260', '32261', '32262', '32263', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32278', '32281', '32283', '32285', '32286']","[342, 1538, 5459, 3255, 2843, 981, 2367, 3084, 2668, 5065, 5801, 49, 5812, 4184, 4710, 1666, 5256, 863, 4725, 4396, 1290, 3063, 1611, 5609, 5460, 5594, 67, 1932, 2044, 605, 4617, 1316, 5763, 3603, 5522, 206]","[0.75, 0.81, 0.75, 0.25, 0.82, 0.75, 0.25, 1.0, 0.16, 0.19, 0.81, 0.75, 0.25, 0.82, 1.0, 1.0, 0.0, 0.89, 0.87, 0.87, 1.0, 0.89, 0.0, 0.96, 1.0, 0.81, 1.0, 0.81, 0.75, 0.75, 0.83, 0.25, 0.81, 1.0, 1.0, 0.25, 0.25, 0.83, 0.0, 0.82, 0.83, 0.82, 0.81, 1.0, 0.81, 0.9, 1.0, 0.0, 1.0, 0.75, 0.18, 0.75, 0.0, 1.0, 0.1, 0.89, 0.75, 0.81, 0.09, 0.0, 0.33, 0.0, 0.82, 0.14, 0.83, 0.09, 0.81, 0.75, 0.88, 0.25, 0.82, 0.25, 0.5, 0.17, 0.81]"
1,60370,0.436,0.444,0,2025-02-23 05:56:25.284248,"['32215', '32218', '32220', '32221', '32222', '32223', '32224', '32225', '32228', '32229', '32230', '32234', '32238', '32239', '32241', '32244', '32245', '32246', '32248', '32250', '32251', '32252', '32253', '32254', '32255', '32256', '32257', '32260', '32263', '32264', '32271', '32276', '32277', '32280', '32282', '32284', '32285', '32286', '32287', '32288']","[930, 4226, 5385, 1740, 557, 2263, 4489, 3052, 3819, 2910, 2612, 1929, 1955, 1072, 3885, 4012, 1391, 5326, 2879, 2948, 4319, 2762, 4723, 4554, 2839, 5673, 1077, 4033, 5072, 1788, 2744, 2609, 2586, 637, 5562, 4003]","[0.79, 0.75, 0.4, 0.33, 0.0, 0.3, 1.0, 0.0, 1.0, 0.25, 0.25, 1.0, 0.72, 0.41, 0.0, 0.0, 0.25, 0.65, 0.6, 0.64, 0.25, 0.65, 0.71, 0.95, 0.0, 0.75, 0.29, 0.75, 0.66, 0.69, 1.0, 0.75, 0.0, 0.75, 0.75, 0.66, 0.75, 0.75, 0.75, 0.25, 0.25, 0.25, 0.75, 0.0, 0.87, 0.66, 0.75, 0.71, 0.33, 0.75, 1.0, 0.32, 0.39, 0.26, 0.38, 0.68, 0.78, 0.25, 0.34, 0.78, 0.66, 0.81, 0.0, 0.0, 0.42, 0.33, 0.67, 0.29, 1.0, 0.6, 0.75, 0.75, 1.0, 1.0, 0.75]"
2,683779,0.378,0.306,0,2025-02-23 05:56:25.696462,"['32214', '32216', '32219', '32220', '32223', '32226', '32227', '32228', '32229', '32231', '32232', '32233', '32234', '32236', '32240', '32243', '32245', '32246', '32247', '32249', '32250', '32252', '32259', '32260', '32261', '32264', '32267', '32268', '32269', '32270', '32274', '32275', '32277', '32279', '32280', '32281', '32282', '32285', '32286', '32287']","[3052, 3863, 3951, 5614, 2058, 5483, 2612, 1176, 1359, 3604, 5899, 1249, 5110, 398, 188, 1290, 2620, 2838, 1433, 1838, 3481, 1942, 3961, 3561, 4454, 4322, 5820, 4489, 5206, 3263, 2055, 33, 506, 5264, 3656, 5115]","[1.0, 0.6, 0.75, 0.15, 0.62, 0.75, 0.0, 0.59, 0.33, 0.0, 0.59, 0.57, 0.0, 1.0, 0.0, 0.25, 0.41, 0.75, 0.0, 0.0, 1.0, 0.68, 0.25, 0.91, 0.46, 0.59, 0.0, 0.6, 0.42, 0.25, 0.62, 0.75, 0.75, 0.25, 0.43, 0.25, 1.0, 0.6, 0.25, 0.58, 0.64, 0.6, 0.62, 0.61, 0.78, 1.0, 1.0, 0.0, 0.43, 0.42, 0.75, 0.16, 0.4, 0.0, 0.25, 1.0, 0.75, 0.59, 0.31, 0.79, 1.0, 0.83, 0.61, 0.0, 0.29, 0.67, 1.0, 0.75, 0.75, 0.72, 0.63, 0.25, 1.0, 0.75, 0.61]"
3,65021,0.231,0.694,0,2025-02-23 05:56:26.098117,"['32214', '32216', '32219', '32220', '32225', '32226', '32228', '32229', '32230', '32232', '32233', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32252', '32258', '32260', '32261', '32262', '32263', '32266', '32267', '32270', '32273', '32274', '32275', '32277', '32278', '32280', '32281', '32283', '32285', '32286']","[3310, 391, 806, 1164, 5290, 4639, 5157, 1885, 3975, 2246, 4679, 558, 1480, 5276, 2172, 2278, 1856, 3829, 3080, 2754, 5045, 1395, 1268, 3064, 1266, 30, 182, 3188, 5134, 2695, 674, 3295, 2678, 1183, 4807, 5301]","[0.0, 0.81, 1.0, 0.15, 0.83, 1.0, 0.0, 0.8, 0.14, 0.18, 0.81, 1.0, 0.75, 0.8, 0.25, 0.25, 0.0, 0.82, 0.25, 1.0, 1.0, 0.82, 0.25, 0.9, 1.0, 0.81, 1.0, 0.81, 0.0, 0.0, 0.83, 0.0, 0.82, 0.25, 0.25, 0.0, 0.84, 0.83, 0.75, 0.82, 0.83, 0.82, 0.82, 0.82, 0.75, 0.82, 1.0, 0.75, 0.75, 0.25, 0.19, 0.15, 0.75, 1.0, 0.19, 0.83, 0.0, 0.81, 0.16, 0.25, 0.83, 0.0, 0.82, 0.0, 0.67, 0.15, 1.0, 0.75, 0.81, 0.5, 0.82, 0.25, 0.5, 0.18, 0.82]"
4,1085933,0.251,0.694,0,2025-02-23 05:56:26.482550,"['32214', '32216', '32217', '32219', '32220', '32221', '32225', '32226', '32228', '32229', '32230', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32250', '32252', '32258', '32261', '32262', '32263', '32266', '32267', '32270', '32273', '32274', '32275', '32277', '32278', '32280', '32281', '32283', '32285', '32286']","[4396, 5157, 3063, 391, 4725, 3255, 1164, 3310, 756, 2668, 2072, 3084, 5245, 2754, 5848, 2246, 5609, 3365, 4639, 1268, 206, 4459, 1293, 2367, 5569, 3758, 5459, 1273, 3572, 841, 3406, 2801, 1067, 5256, 148, 3593]","[1.0, 0.78, 1.0, 0.0, 0.79, 1.0, 0.25, 1.0, 0.18, 0.22, 0.77, 0.75, 0.75, 0.77, 0.75, 0.25, 0.25, 0.83, 0.78, 0.78, 1.0, 0.83, 0.0, 0.93, 0.75, 0.78, 1.0, 0.78, 0.0, 1.0, 0.8, 0.0, 0.78, 0.0, 1.0, 0.0, 1.0, 0.79, 0.25, 0.78, 0.8, 0.79, 0.79, 0.78, 0.75, 0.83, 0.82, 0.75, 0.0, 0.25, 0.22, 0.22, 0.0, 0.75, 0.17, 0.84, 0.25, 0.78, 0.15, 0.0, 0.67, 0.17, 0.79, 0.0, 0.83, 0.14, 1.0, 0.75, 0.82, 0.25, 0.79, 0.0, 0.5, 0.21, 0.78]"
5,1348327,0.245,0.556,5,2025-02-23 05:56:26.990386,"['32214', '32216', '32217', '32219', '32220', '32226', '32228', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32250', '32252', '32254', '32256', '32261', '32262', '32264', '32265', '32266', '32267', '32270', '32271', '32273', '32274', '32275', '32276', '32278', '32280', '32281', '32283', '32285', '32286', '32287']","[3608, 67, 3161, 1538, 3932, 5127, 5687, 342, 2177, 5073, 5747, 1145, 4396, 810, 214, 1919, 4725, 5692, 357, 3200, 4504, 3188, 5609, 5790, 2019, 3450, 5778, 1164, 1893, 4617, 4651, 5445, 4696, 1898, 2695, 1885]","[1.0, 0.83, 0.0, 0.0, 0.83, 1.0, 1.0, 0.84, 0.15, 0.16, 0.83, 0.83, 0.25, 0.83, 0.25, 0.86, 0.14, 0.89, 0.86, 0.87, 1.0, 0.89, 1.0, 0.95, 1.0, 0.85, 1.0, 0.86, 1.0, 1.0, 0.85, 0.0, 0.84, 0.0, 1.0, 0.0, 1.0, 0.84, 0.0, 0.85, 1.0, 0.84, 1.0, 0.84, 0.83, 0.9, 0.84, 0.0, 1.0, 0.16, 0.0, 1.0, 1.0, 1.0, 0.1, 0.91, 0.0, 1.0, 0.1, 0.0, 0.0, 0.67, 0.83, 0.14, 0.83, 0.12, 1.0, 0.75, 0.9, 0.75, 0.83, 0.75, 0.5, 0.5, 0.84]"
6,802728,0.388,0.361,5,2025-02-23 05:56:27.364792,"['32215', '32216', '32218', '32220', '32222', '32223', '32224', '32225', '32228', '32230', '32234', '32236', '32238', '32239', '32242', '32243', '32245', '32248', '32249', '32250', '32251', '32252', '32253', '32254', '32255', '32256', '32257', '32260', '32261', '32262', '32263', '32264', '32271', '32274', '32276', '32280', '32285', '32286', '32287', '32288']","[4226, 4846, 557, 4033, 3326, 1251, 2740, 2612, 823, 539, 5195, 1838, 4455, 2753, 3052, 990, 4600, 4665, 2505, 3158, 3094, 4825, 838, 814, 4003, 3720, 4732, 835, 880, 5544, 2840, 5555, 5465, 825, 1740, 2187]","[0.65, 0.25, 0.25, 0.26, 0.75, 0.39, 0.25, 0.56, 0.75, 0.25, 1.0, 0.25, 0.61, 0.56, 0.0, 0.63, 0.75, 0.68, 0.65, 0.66, 0.0, 0.68, 1.0, 0.94, 1.0, 0.75, 0.41, 0.59, 0.75, 0.0, 0.57, 0.75, 0.56, 0.66, 0.75, 1.0, 1.0, 0.0, 0.0, 0.75, 1.0, 1.0, 1.0, 1.0, 0.86, 0.71, 1.0, 1.0, 0.0, 0.0, 1.0, 0.26, 0.4, 0.34, 0.31, 0.7, 0.67, 1.0, 0.3, 0.78, 0.17, 0.66, 0.17, 0.37, 0.39, 0.33, 0.83, 0.39, 0.71, 0.59, 0.57, 0.5, 0.75, 0.5, 0.25]"
7,1003992,0.347,0.528,5,2025-02-23 05:56:27.726920,"['32214', '32216', '32219', '32226', '32228', '32229', '32231', '32232', '32233', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32252', '32256', '32258', '32261', '32262', '32266', '32267', '32268', '32270', '32273', '32274', '32275', '32277', '32278', '32279', '32280', '32281', '32283', '32285', '32286', '32287']","[1164, 5696, 4459, 3214, 3063, 206, 2341, 2253, 3255, 5290, 806, 3330, 4396, 5256, 1293, 3301, 4444, 535, 133, 4965, 5402, 214, 3406, 1395, 3161, 4807, 3095, 2640, 3049, 123, 2298, 4651, 5127, 4696, 148, 4703]","[0.25, 0.82, 1.0, 0.12, 0.83, 0.75, 0.82, 0.83, 0.15, 0.17, 0.81, 0.81, 0.25, 0.82, 1.0, 1.0, 0.14, 0.75, 0.75, 0.0, 0.75, 0.81, 0.0, 0.89, 0.25, 0.84, 1.0, 0.86, 0.0, 0.25, 0.84, 0.25, 0.84, 0.0, 1.0, 0.0, 0.82, 0.84, 0.0, 0.85, 0.81, 0.84, 0.75, 0.83, 0.0, 0.81, 0.84, 0.0, 0.25, 0.18, 0.19, 0.13, 0.75, 1.0, 0.0, 0.83, 0.25, 0.85, 0.18, 0.0, 0.0, 0.33, 0.81, 0.17, 0.67, 0.17, 0.67, 0.75, 0.82, 0.75, 0.82, 0.5, 0.5, 0.25, 0.82]"
8,1341367,0.309,0.444,5,2025-02-23 05:56:28.081303,"['32214', '32216', '32217', '32219', '32226', '32228', '32229', '32232', '32233', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32252', '32256', '32258', '32261', '32262', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32277', '32278', '32279', '32280', '32281', '32283', '32285', '32286', '32287']","[3200, 5575, 4179, 2481, 2010, 2355, 297, 299, 3565, 4948, 5657, 2661, 2754, 3008, 2997, 1480, 3063, 5847, 3059, 918, 1265, 1266, 1334, 5687, 2868, 5320, 4696, 3838, 520, 2044, 4423, 4183, 68, 3161, 1750, 3572]","[0.0, 0.9, 0.0, 0.0, 0.9, 1.0, 0.9, 0.9, 0.09, 0.1, 0.89, 0.89, 0.25, 0.89, 1.0, 1.0, 0.08, 0.9, 1.0, 1.0, 1.0, 0.9, 0.0, 0.92, 1.0, 0.92, 1.0, 0.92, 0.0, 0.25, 0.91, 0.0, 0.91, 0.0, 0.75, 0.0, 0.89, 0.91, 0.25, 0.91, 0.89, 0.9, 0.75, 0.9, 1.0, 0.9, 0.9, 0.25, 1.0, 0.1, 0.11, 0.0, 0.25, 1.0, 0.1, 0.92, 0.25, 0.92, 0.09, 0.75, 0.0, 0.0, 0.89, 0.0, 0.67, 0.0, 0.83, 1.0, 0.91, 0.0, 0.89, 0.0, 0.0, 0.0, 0.9]"
9,876748,0.232,0.75,5,2025-02-23 05:56:28.448402,"['32214', '32216', '32217', '32218', '32219', '32226', '32227', '32228', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32250', '32252', '32254', '32256', '32261', '32262', '32264', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32276', '32278', '32280', '32281', '32283', '32285', '32286', '32287']","[3450, 760, 5778, 2044, 605, 5065, 756, 67, 3255, 5609, 4885, 2177, 2019, 3029, 1754, 5046, 4725, 1538, 2695, 3245, 342, 2367, 1787, 939, 5245, 3084, 295, 3063, 563, 1856, 5790, 841, 686, 3310, 1845, 4184]","[1.0, 0.83, 1.0, 0.0, 1.0, 1.0, 0.83, 0.83, 0.16, 0.17, 0.83, 0.84, 1.0, 1.0, 1.0, 0.91, 0.15, 0.92, 0.9, 0.91, 1.0, 0.92, 1.0, 0.97, 1.0, 0.85, 1.0, 0.85, 0.75, 0.75, 0.85, 0.25, 0.84, 0.25, 1.0, 1.0, 1.0, 0.83, 0.0, 0.84, 1.0, 0.84, 0.25, 0.84, 0.87, 0.92, 0.83, 0.75, 1.0, 0.16, 0.0, 1.0, 1.0, 1.0, 0.08, 0.93, 1.0, 0.85, 0.08, 0.0, 0.0, 0.0, 1.0, 0.1, 1.0, 0.09, 1.0, 0.75, 0.92, 0.0, 0.83, 0.0, 0.25, 0.0, 0.84]"
