,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,1654746,0.486793200441062,0.5277777777777778,0,2024-10-09 11:01:32.481067,"['32215', '32216', '32217', '32219', '32220', '32221', '32223', '32225', '32229', '32231', '32235', '32236', '32237', '32239', '32240', '32241', '32244', '32245', '32247', '32249', '32251', '32253', '32256', '32257', '32260', '32261', '32262', '32263', '32264', '32265', '32267', '32268', '32269', '32270', '32274', '32276', '32278', '32279', '32280', '32281', '32282', '32283', '32285', '32287', '32288']"
1,1004253,0.4813956221676339,0.6388888888888888,0,2024-10-09 11:01:32.927744,"['32214', '32215', '32216', '32217', '32219', '32220', '32221', '32223', '32225', '32231', '32235', '32236', '32237', '32238', '32239', '32240', '32241', '32245', '32249', '32251', '32252', '32253', '32256', '32257', '32260', '32261', '32262', '32263', '32265', '32266', '32267', '32268', '32269', '32270', '32273', '32274', '32276', '32278', '32279', '32281', '32282', '32283', '32286', '32287', '32288']"
2,1150178,0.5177553970330694,0.5555555555555556,0,2024-10-09 11:01:33.384966,"['32215', '32216', '32217', '32219', '32220', '32221', '32223', '32225', '32231', '32235', '32236', '32237', '32238', '32239', '32240', '32241', '32245', '32249', '32251', '32252', '32253', '32256', '32257', '32260', '32261', '32262', '32263', '32264', '32265', '32266', '32267', '32268', '32269', '32270', '32273', '32274', '32276', '32278', '32279', '32281', '32282', '32283', '32286', '32287', '32288']"
3,996298,0.4646514237326236,0.5555555555555556,0,2024-10-09 11:01:33.835277,"['32215', '32216', '32217', '32219', '32220', '32221', '32223', '32225', '32229', '32231', '32233', '32235', '32236', '32237', '32239', '32240', '32241', '32244', '32245', '32247', '32249', '32251', '32253', '32255', '32256', '32257', '32260', '32261', '32262', '32264', '32265', '32267', '32268', '32269', '32270', '32272', '32274', '32276', '32278', '32279', '32280', '32282', '32283', '32285', '32287']"
4,354846,0.46194865165410137,0.5,0,2024-10-09 11:01:34.281429,"['32215', '32216', '32217', '32219', '32220', '32221', '32223', '32225', '32229', '32231', '32233', '32235', '32236', '32237', '32239', '32240', '32241', '32244', '32245', '32247', '32249', '32251', '32253', '32256', '32257', '32260', '32261', '32262', '32264', '32265', '32267', '32268', '32269', '32270', '32274', '32276', '32278', '32279', '32280', '32281', '32282', '32283', '32285', '32287', '32288']"
5,889483,0.5172836518843076,0.2777777777777778,5,2024-10-09 11:01:34.756217,"['32214', '32215', '32216', '32217', '32219', '32220', '32221', '32226', '32228', '32229', '32230', '32231', '32232', '32233', '32238', '32239', '32243', '32244', '32245', '32246', '32250', '32251', '32252', '32253', '32254', '32256', '32258', '32262', '32263', '32264', '32266', '32271', '32272', '32273', '32274', '32275', '32276', '32277', '32278', '32279', '32281', '32283', '32285', '32286', '32287']"
6,112047,0.4962799196172071,0.5555555555555556,5,2024-10-09 11:01:35.163042,"['32214', '32215', '32216', '32217', '32219', '32220', '32221', '32226', '32228', '32229', '32230', '32231', '32232', '32233', '32238', '32239', '32243', '32244', '32245', '32246', '32250', '32251', '32252', '32253', '32254', '32256', '32258', '32262', '32263', '32264', '32266', '32271', '32272', '32273', '32274', '32275', '32276', '32277', '32278', '32279', '32281', '32283', '32285', '32286', '32287']"
7,1567329,0.49444543583884926,0.16666666666666666,5,2024-10-09 11:01:35.565172,"['32214', '32215', '32216', '32217', '32220', '32221', '32226', '32228', '32229', '32230', '32231', '32232', '32233', '32238', '32239', '32243', '32244', '32245', '32246', '32250', '32251', '32252', '32253', '32254', '32256', '32258', '32262', '32263', '32264', '32265', '32266', '32270', '32271', '32272', '32273', '32274', '32275', '32276', '32278', '32279', '32281', '32283', '32285', '32286', '32287']"
8,1153884,0.3911979531934206,0.4444444444444444,5,2024-10-09 11:01:35.986312,"['32214', '32215', '32216', '32217', '32219', '32220', '32221', '32226', '32228', '32229', '32230', '32231', '32232', '32233', '32238', '32239', '32241', '32243', '32244', '32245', '32246', '32250', '32252', '32253', '32254', '32256', '32258', '32262', '32263', '32264', '32266', '32271', '32272', '32273', '32274', '32275', '32276', '32277', '32278', '32279', '32281', '32283', '32285', '32286', '32287']"
9,349383,0.4390980726377578,0.5833333333333334,5,2024-10-09 11:01:36.391897,"['32214', '32215', '32216', '32217', '32220', '32221', '32226', '32228', '32229', '32230', '32231', '32232', '32233', '32238', '32239', '32243', '32244', '32245', '32246', '32250', '32251', '32252', '32253', '32254', '32256', '32258', '32262', '32263', '32264', '32265', '32266', '32270', '32271', '32272', '32273', '32274', '32275', '32276', '32278', '32279', '32281', '32283', '32285', '32286', '32287']"
