,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,1419855,0.4791174241966254,0.2222222222222222,0,2024-09-26 12:02:03.569018,"['32218', '32219', '32220', '32222', '32224', '32225', '32226', '32228', '32229', '32231', '32235', '32236', '32238', '32239', '32240', '32241', '32242', '32243', '32244', '32245', '32252', '32253', '32254', '32255', '32258', '32260', '32264', '32266', '32267', '32268', '32269', '32270', '32271', '32272', '32273', '32276', '32278', '32280', '32282', '32288']"
1,58934,0.43453335748900335,0.5277777777777778,0,2024-09-26 12:02:04.024922,"['32216', '32218', '32219', '32220', '32221', '32222', '32224', '32225', '32226', '32228', '32231', '32235', '32236', '32238', '32239', '32240', '32241', '32242', '32243', '32244', '32253', '32254', '32255', '32258', '32260', '32264', '32266', '32267', '32268', '32269', '32270', '32272', '32273', '32276', '32278', '32280', '32282', '32283', '32284', '32288']"
2,168774,0.5035467926251033,0.3333333333333333,0,2024-09-26 12:02:04.486148,"['32217', '32218', '32219', '32220', '32222', '32223', '32224', '32225', '32226', '32228', '32229', '32231', '32235', '32236', '32238', '32239', '32240', '32241', '32242', '32243', '32244', '32245', '32253', '32254', '32255', '32258', '32260', '32266', '32267', '32269', '32270', '32271', '32272', '32273', '32276', '32278', '32280', '32282', '32287', '32288']"
3,973178,0.4905653620503772,0.5,0,2024-09-26 12:02:04.940987,"['32217', '32218', '32219', '32220', '32222', '32224', '32225', '32226', '32228', '32229', '32231', '32233', '32235', '32236', '32238', '32239', '32240', '32242', '32243', '32244', '32245', '32252', '32253', '32254', '32255', '32258', '32260', '32266', '32267', '32268', '32269', '32270', '32271', '32272', '32273', '32276', '32278', '32280', '32282', '32288']"
4,1035314,0.5436141481687329,0.3888888888888889,0,2024-09-26 12:02:05.388511,"['32216', '32217', '32218', '32219', '32220', '32221', '32222', '32223', '32224', '32225', '32226', '32228', '32229', '32231', '32235', '32236', '32238', '32239', '32240', '32241', '32242', '32243', '32244', '32245', '32254', '32255', '32258', '32260', '32266', '32267', '32269', '32270', '32271', '32272', '32273', '32276', '32278', '32280', '32282', '32288']"
5,164988,0.4798960790253056,0.05555555555555555,5,2024-09-26 12:02:05.911186,"['32214', '32215', '32216', '32217', '32218', '32220', '32221', '32225', '32228', '32230', '32231', '32235', '32237', '32240', '32241', '32245', '32246', '32247', '32250', '32251', '32252', '32256', '32257', '32259', '32262', '32265', '32266', '32268', '32270', '32272', '32274', '32275', '32278', '32279', '32281', '32282', '32283', '32284', '32285', '32286']"
6,1321165,0.43114507988580586,0.4722222222222222,5,2024-09-26 12:02:06.358466,"['32214', '32215', '32216', '32218', '32220', '32221', '32225', '32228', '32230', '32231', '32232', '32237', '32238', '32240', '32241', '32242', '32243', '32245', '32246', '32247', '32249', '32250', '32251', '32252', '32254', '32256', '32257', '32259', '32264', '32265', '32266', '32267', '32268', '32270', '32275', '32277', '32278', '32279', '32281', '32284']"
7,553761,0.4703320763461745,0.2777777777777778,5,2024-09-26 12:02:06.808541,"['32214', '32215', '32216', '32218', '32220', '32221', '32225', '32228', '32230', '32231', '32232', '32238', '32240', '32241', '32242', '32243', '32245', '32246', '32247', '32249', '32251', '32252', '32254', '32256', '32257', '32259', '32263', '32264', '32265', '32266', '32267', '32268', '32270', '32275', '32277', '32278', '32279', '32281', '32284', '32288']"
8,71061,0.5001931517741985,0.1388888888888889,5,2024-09-26 12:02:07.251981,"['32214', '32215', '32216', '32218', '32220', '32221', '32225', '32228', '32230', '32231', '32232', '32237', '32238', '32240', '32241', '32242', '32243', '32245', '32246', '32247', '32249', '32251', '32252', '32254', '32256', '32257', '32259', '32264', '32265', '32266', '32267', '32268', '32270', '32275', '32277', '32278', '32279', '32281', '32284', '32288']"
9,1103312,0.5332003500019282,0.5,5,2024-09-26 12:02:07.748602,"['32214', '32215', '32216', '32217', '32218', '32220', '32221', '32225', '32228', '32230', '32231', '32232', '32238', '32240', '32241', '32242', '32243', '32245', '32246', '32247', '32251', '32252', '32254', '32256', '32257', '32259', '32263', '32264', '32265', '32266', '32267', '32268', '32270', '32275', '32277', '32278', '32279', '32281', '32284', '32288']"
