,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,674934,0.44245446505170644,0.5277777777777778,0,2024-09-30 14:58:57.780876,"['32214', '32215', '32218', '32219', '32222', '32226', '32229', '32230', '32231', '32236', '32239', '32241', '32243', '32244', '32247', '32249', '32251', '32254', '32255', '32256', '32259', '32260', '32264', '32265', '32267', '32268', '32269', '32270', '32272', '32274', '32277', '32278', '32279', '32280', '32281', '32282', '32284', '32285', '32287', '32288']"
1,236815,0.33228144346027777,0.6666666666666666,0,2024-09-30 14:58:58.156246,"['32214', '32215', '32216', '32217', '32218', '32220', '32222', '32226', '32229', '32231', '32233', '32239', '32241', '32243', '32244', '32248', '32249', '32251', '32254', '32255', '32256', '32257', '32259', '32260', '32264', '32265', '32268', '32269', '32272', '32274', '32277', '32279', '32280', '32281', '32282', '32283', '32284', '32285', '32287', '32288']"
2,1317057,0.19626330978410675,0.8888888888888888,0,2024-09-30 14:58:58.521985,"['32214', '32216', '32220', '32221', '32222', '32223', '32224', '32226', '32228', '32229', '32232', '32233', '32234', '32236', '32241', '32242', '32243', '32245', '32247', '32248', '32251', '32252', '32258', '32259', '32261', '32263', '32265', '32266', '32267', '32269', '32270', '32273', '32274', '32275', '32277', '32278', '32283', '32285', '32286', '32287']"
3,1344088,0.20406795420366622,0.3888888888888889,0,2024-09-30 14:58:58.882502,"['32214', '32216', '32220', '32221', '32222', '32223', '32224', '32226', '32228', '32229', '32230', '32232', '32233', '32234', '32236', '32238', '32240', '32241', '32243', '32245', '32246', '32247', '32248', '32251', '32252', '32261', '32262', '32265', '32266', '32267', '32269', '32270', '32273', '32274', '32275', '32277', '32283', '32285', '32286', '32287']"
4,663256,0.36807314010307873,0.4722222222222222,0,2024-09-30 14:58:59.256215,"['32214', '32215', '32216', '32217', '32219', '32220', '32221', '32222', '32224', '32226', '32230', '32232', '32233', '32234', '32236', '32239', '32240', '32241', '32243', '32244', '32248', '32249', '32251', '32260', '32262', '32264', '32265', '32267', '32269', '32273', '32274', '32276', '32277', '32280', '32281', '32283', '32284', '32285', '32287', '32288']"
5,102496,0.381418242250858,0.2777777777777778,5,2024-09-30 14:58:59.741298,"['32215', '32217', '32220', '32222', '32225', '32227', '32229', '32230', '32231', '32235', '32239', '32241', '32243', '32247', '32248', '32249', '32251', '32253', '32254', '32255', '32256', '32257', '32259', '32260', '32265', '32268', '32269', '32271', '32272', '32274', '32277', '32278', '32279', '32280', '32281', '32282', '32283', '32284', '32285', '32286']"
6,659993,0.3893437964184225,0.4166666666666667,5,2024-09-30 14:59:00.102919,"['32215', '32216', '32217', '32218', '32220', '32222', '32229', '32230', '32231', '32232', '32233', '32239', '32241', '32243', '32244', '32248', '32249', '32251', '32254', '32255', '32259', '32260', '32264', '32265', '32268', '32269', '32272', '32274', '32276', '32277', '32279', '32280', '32281', '32282', '32283', '32284', '32285', '32286', '32287', '32288']"
7,1201140,0.428146196746175,0.3611111111111111,5,2024-09-30 14:59:00.461413,"['32215', '32216', '32217', '32218', '32220', '32222', '32226', '32229', '32230', '32231', '32232', '32233', '32239', '32241', '32243', '32244', '32248', '32249', '32251', '32254', '32259', '32260', '32264', '32265', '32268', '32269', '32272', '32274', '32276', '32277', '32279', '32280', '32281', '32282', '32283', '32284', '32285', '32286', '32287', '32288']"
8,1631585,0.2823992475634221,0.4166666666666667,5,2024-09-30 14:59:00.816814,"['32214', '32216', '32219', '32220', '32221', '32223', '32224', '32226', '32228', '32229', '32230', '32232', '32233', '32234', '32236', '32238', '32240', '32241', '32243', '32245', '32246', '32247', '32248', '32252', '32259', '32261', '32262', '32264', '32265', '32267', '32269', '32270', '32273', '32274', '32275', '32278', '32281', '32283', '32285', '32286']"
9,731440,0.4153152765947249,0.3888888888888889,5,2024-09-30 14:59:01.172826,"['32216', '32219', '32220', '32221', '32224', '32226', '32229', '32230', '32231', '32232', '32236', '32237', '32240', '32241', '32242', '32245', '32247', '32251', '32258', '32259', '32261', '32262', '32264', '32267', '32268', '32269', '32270', '32272', '32274', '32275', '32276', '32277', '32278', '32279', '32281', '32283', '32285', '32286', '32287', '32288']"
