,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,1482578,0.5581711721901315,0.3333333333333333,0,2024-09-26 11:33:27.269726,"['32215', '32217', '32218', '32220', '32221', '32222', '32223', '32224', '32226', '32229', '32230', '32232', '32234', '32235', '32236', '32237', '32239', '32241', '32247', '32249', '32250', '32251', '32252', '32254', '32255', '32256', '32257', '32258', '32260', '32266', '32267', '32269', '32272', '32274', '32276', '32278', '32280', '32282', '32284', '32288']"
1,768287,0.5055251687012586,0.2777777777777778,0,2024-09-26 11:33:27.717691,"['32215', '32220', '32221', '32222', '32223', '32224', '32227', '32229', '32230', '32232', '32234', '32235', '32236', '32237', '32239', '32241', '32247', '32249', '32250', '32251', '32252', '32254', '32255', '32256', '32257', '32258', '32260', '32261', '32266', '32267', '32269', '32272', '32274', '32276', '32277', '32278', '32282', '32283', '32286', '32288']"
2,659993,0.42418636529255627,0.19444444444444445,0,2024-09-26 11:33:28.156093,"['32215', '32220', '32221', '32222', '32223', '32224', '32229', '32230', '32232', '32234', '32235', '32236', '32237', '32239', '32241', '32247', '32249', '32250', '32251', '32252', '32254', '32255', '32256', '32257', '32258', '32260', '32261', '32266', '32267', '32269', '32272', '32274', '32276', '32277', '32278', '32280', '32282', '32283', '32284', '32288']"
3,1497802,0.4897349576775865,0.3888888888888889,0,2024-09-26 11:33:28.612207,"['32215', '32217', '32218', '32220', '32221', '32222', '32223', '32224', '32226', '32229', '32230', '32232', '32235', '32236', '32237', '32239', '32241', '32247', '32249', '32250', '32251', '32252', '32255', '32256', '32257', '32258', '32260', '32266', '32267', '32269', '32272', '32274', '32275', '32276', '32278', '32280', '32282', '32284', '32286', '32288']"
4,1090491,0.46474987078589786,0.1388888888888889,0,2024-09-26 11:33:29.081794,"['32215', '32220', '32221', '32222', '32223', '32224', '32229', '32230', '32232', '32234', '32235', '32236', '32237', '32239', '32241', '32247', '32248', '32249', '32250', '32251', '32252', '32254', '32255', '32256', '32257', '32258', '32260', '32261', '32266', '32267', '32269', '32272', '32274', '32276', '32277', '32278', '32282', '32284', '32286', '32288']"
5,728041,0.5912642498628162,0.08333333333333333,5,2024-09-26 11:33:29.621054,"['32215', '32217', '32218', '32220', '32221', '32222', '32226', '32227', '32229', '32230', '32232', '32234', '32236', '32237', '32238', '32240', '32241', '32244', '32247', '32252', '32253', '32254', '32255', '32256', '32257', '32265', '32266', '32269', '32270', '32271', '32272', '32273', '32275', '32276', '32278', '32279', '32283', '32286', '32287', '32288']"
6,997301,0.43742677855793316,0.4166666666666667,5,2024-09-26 11:33:30.070539,"['32215', '32217', '32218', '32221', '32222', '32226', '32228', '32229', '32230', '32232', '32234', '32236', '32237', '32238', '32240', '32241', '32244', '32247', '32252', '32253', '32254', '32255', '32256', '32262', '32265', '32266', '32268', '32269', '32270', '32271', '32272', '32273', '32275', '32276', '32279', '32283', '32285', '32286', '32287', '32288']"
7,490479,0.4948108951788583,0.4166666666666667,5,2024-09-26 11:33:30.524597,"['32215', '32217', '32218', '32220', '32221', '32222', '32226', '32227', '32228', '32229', '32230', '32232', '32234', '32236', '32237', '32238', '32240', '32241', '32244', '32247', '32252', '32253', '32254', '32255', '32256', '32265', '32266', '32269', '32270', '32271', '32272', '32273', '32275', '32276', '32278', '32279', '32283', '32286', '32287', '32288']"
8,141512,0.4213774635683636,0.19444444444444445,5,2024-09-26 11:33:30.960309,"['32215', '32217', '32218', '32221', '32222', '32226', '32227', '32228', '32229', '32230', '32232', '32234', '32236', '32237', '32238', '32240', '32241', '32244', '32246', '32247', '32252', '32253', '32254', '32255', '32256', '32262', '32265', '32266', '32269', '32270', '32271', '32272', '32273', '32275', '32276', '32279', '32283', '32286', '32287', '32288']"
9,1226616,0.38129589717147333,0.5833333333333334,5,2024-09-26 11:33:31.390093,"['32215', '32217', '32218', '32220', '32221', '32222', '32226', '32227', '32228', '32229', '32230', '32232', '32234', '32236', '32237', '32238', '32240', '32241', '32244', '32247', '32252', '32253', '32254', '32255', '32256', '32265', '32266', '32269', '32270', '32271', '32272', '32273', '32275', '32276', '32278', '32279', '32283', '32286', '32287', '32288']"
