,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,555327,0.383607799916641,0.0,0,2024-10-08 15:49:06.321823,"['32216', '32224', '32228', '32248', '32251']"
1,978643,0.3845652910192918,0.05555555555555555,0,2024-10-08 15:49:06.368372,"['32224', '32226', '32245', '32248', '32278']"
2,1019229,0.27445835457207185,0.16666666666666666,0,2024-10-08 15:49:06.415451,"['32216', '32219', '32224', '32245', '32262']"
3,434704,0.3731872667021045,0.0,0,2024-10-08 15:49:06.462185,"['32224', '32226', '32238', '32248', '32278']"
4,358308,0.33176580763381414,0.1111111111111111,0,2024-10-08 15:49:06.509811,"['32216', '32224', '32228', '32244', '32248']"
5,95133,0.27771446324528676,0.2222222222222222,5,2024-10-08 15:49:06.690314,"['32216', '32240', '32245', '32249', '32260']"
6,631451,0.390164229166926,0.05555555555555555,5,2024-10-08 15:49:06.737224,"['32248', '32260', '32274', '32276', '32283']"
7,1494658,0.3306902047433957,0.1388888888888889,5,2024-10-08 15:49:06.784591,"['32216', '32248', '32249', '32260', '32285']"
8,266845,0.3331617730098547,0.3611111111111111,5,2024-10-08 15:49:06.831232,"['32245', '32248', '32260', '32274', '32283']"
9,437399,0.3844553284352693,0.08333333333333333,5,2024-10-08 15:49:06.877802,"['32216', '32248', '32260', '32262', '32285']"
10,1023482,0.34907830429695796,0.3055555555555556,10,2024-10-08 15:49:07.051447,"['32225', '32227', '32241', '32248', '32263']"
11,861954,0.39394255507250053,0.0,10,2024-10-08 15:49:07.099632,"['32220', '32225', '32227', '32239', '32248']"
12,1030538,0.27565101978600276,0.4444444444444444,10,2024-10-08 15:49:07.146208,"['32216', '32227', '32245', '32248', '32262']"
13,1138100,0.4275184741508523,0.05555555555555555,10,2024-10-08 15:49:07.193250,"['32221', '32227', '32234', '32241', '32280']"
14,221341,0.36078172832033234,0.1111111111111111,10,2024-10-08 15:49:07.240559,"['32216', '32227', '32238', '32248', '32285']"
15,1172806,0.3431691888220194,0.2777777777777778,15,2024-10-08 15:49:07.414035,"['32216', '32234', '32260', '32274', '32284']"
16,945680,0.42019160803574046,0.16666666666666666,15,2024-10-08 15:49:07.460253,"['32231', '32234', '32269', '32277', '32286']"
17,1454733,0.3973379773388124,0.0,15,2024-10-08 15:49:07.507295,"['32216', '32234', '32248', '32249', '32276']"
18,1029246,0.29769930340042106,0.1111111111111111,15,2024-10-08 15:49:07.554260,"['32234', '32245', '32248', '32262', '32278']"
