,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,488590,0.4949881193450335,0.16666666666666666,0,2024-10-08 20:55:42.175222,"['32217', '32220', '32223', '32225', '32227', '32229', '32234', '32235', '32236', '32238', '32244', '32246', '32247', '32248', '32250', '32251', '32252', '32255', '32259', '32260', '32263', '32266', '32270', '32271', '32273', '32275', '32276', '32279', '32283', '32288']"
1,697805,0.5986839859783577,0.05555555555555555,0,2024-10-08 20:55:42.453426,"['32217', '32218', '32220', '32223', '32225', '32227', '32231', '32234', '32235', '32236', '32238', '32246', '32247', '32248', '32250', '32251', '32252', '32255', '32260', '32263', '32266', '32271', '32272', '32273', '32275', '32276', '32279', '32283', '32287', '32288']"
2,1041807,0.5011855681167042,0.5,0,2024-10-08 20:55:42.731783,"['32215', '32217', '32220', '32223', '32225', '32227', '32229', '32234', '32236', '32238', '32244', '32246', '32248', '32250', '32251', '32252', '32255', '32256', '32259', '32260', '32263', '32266', '32270', '32271', '32273', '32275', '32276', '32279', '32283', '32288']"
3,1270751,0.5304814485181739,0.25,0,2024-10-08 20:55:43.010001,"['32215', '32217', '32220', '32223', '32225', '32227', '32229', '32234', '32236', '32238', '32244', '32246', '32247', '32248', '32250', '32251', '32252', '32255', '32256', '32260', '32263', '32266', '32270', '32271', '32273', '32275', '32276', '32279', '32283', '32288']"
4,1324695,0.4339672905545909,0.16666666666666666,0,2024-10-08 20:55:43.288268,"['32217', '32218', '32220', '32223', '32225', '32227', '32231', '32234', '32236', '32238', '32244', '32246', '32247', '32248', '32250', '32251', '32252', '32255', '32260', '32263', '32266', '32271', '32272', '32273', '32275', '32276', '32279', '32283', '32287', '32288']"
5,958705,0.405233051349869,0.2777777777777778,5,2024-10-08 20:55:43.633064,"['32215', '32218', '32219', '32220', '32221', '32222', '32224', '32225', '32227', '32229', '32231', '32235', '32237', '32243', '32248', '32249', '32252', '32253', '32255', '32256', '32258', '32259', '32265', '32269', '32273', '32278', '32281', '32282', '32283', '32287']"
6,785009,0.49510835474777276,0.08333333333333333,5,2024-10-08 20:55:43.916120,"['32215', '32218', '32219', '32220', '32221', '32222', '32224', '32225', '32227', '32229', '32231', '32235', '32237', '32239', '32248', '32249', '32252', '32253', '32256', '32258', '32259', '32265', '32267', '32269', '32273', '32278', '32281', '32282', '32283', '32287']"
7,336801,0.4441390936471237,0.16666666666666666,5,2024-10-08 20:55:44.195270,"['32215', '32218', '32219', '32220', '32221', '32222', '32224', '32225', '32227', '32229', '32231', '32235', '32237', '32243', '32244', '32248', '32249', '32253', '32255', '32256', '32258', '32259', '32265', '32269', '32273', '32278', '32281', '32282', '32283', '32287']"
8,1305553,0.47182484312926304,0.027777777777777776,5,2024-10-08 20:55:44.471659,"['32215', '32216', '32217', '32218', '32219', '32220', '32221', '32222', '32224', '32225', '32229', '32231', '32235', '32237', '32243', '32244', '32248', '32249', '32252', '32253', '32256', '32258', '32259', '32265', '32269', '32278', '32281', '32282', '32283', '32287']"
9,886399,0.41861179445467017,0.16666666666666666,5,2024-10-08 20:55:44.749317,"['32215', '32216', '32217', '32218', '32219', '32221', '32224', '32229', '32230', '32231', '32234', '32235', '32243', '32244', '32249', '32253', '32256', '32258', '32259', '32264', '32265', '32274', '32275', '32276', '32278', '32279', '32281', '32282', '32287', '32288']"
