,User,RMSE,CRA,ModelVersion,TimeStamp,Queries,Neighbors,Predictions
0,333019,0.483,0.194,0,2025-02-22 14:17:02.167650,"['32215', '32216', '32217', '32218', '32220', '32221', '32222', '32224', '32231', '32234', '32235', '32243', '32244', '32245', '32246', '32247', '32248', '32249', '32251', '32257', '32263', '32266', '32270', '32271', '32273', '32277', '32281', '32282', '32284', '32287']","[4000, 814, 185, 5899, 712, 4299, 5614, 3263, 188, 2236, 576, 786, 1273, 3951, 1249, 2055, 2831, 5555, 2943, 5906, 1331, 4083, 5597, 3761, 3656, 628, 4627, 5654, 3798, 835, 2709, 211, 2640, 3052, 3084, 179]","[0.3, 1.0, 1.0, 0.0, 0.75, 0.28, 0.25, 0.75, 1.0, 0.14, 0.75, 0.35, 0.71, 0.36, 0.32, 0.28, 0.73, 0.25, 0.62, 0.3, 0.0, 1.0, 0.64, 0.78, 0.32, 0.78, 0.17, 0.34, 0.31, 0.75, 1.0, 0.25, 1.0, 0.0, 0.75, 0.0, 0.23, 0.75, 0.63, 0.84, 0.29, 0.24, 0.83, 1.0, 0.8, 0.72, 0.82, 0.73, 0.63, 0.0, 0.63, 0.72, 0.75, 0.7, 0.28, 0.22, 1.0, 1.0, 0.66, 0.0, 0.38, 0.2, 0.62, 0.17, 0.27, 0.21, 0.9, 0.75, 1.0, 0.22, 1.0, 0.3, 0.62, 0.25, 0.77]"
1,1548797,0.393,0.389,0,2025-02-22 14:17:02.531489,"['32215', '32216', '32218', '32221', '32222', '32231', '32234', '32235', '32243', '32244', '32246', '32247', '32248', '32249', '32252', '32257', '32259', '32262', '32263', '32264', '32266', '32270', '32271', '32273', '32276', '32277', '32281', '32282', '32284', '32287']","[4119, 3998, 4663, 3604, 2586, 3158, 3885, 2821, 2096, 2740, 3308, 185, 2217, 4672, 825, 2910, 5236, 1072, 3139, 557, 253, 5385, 5888, 4319, 2744, 1596, 4732, 1761, 617, 814, 2776, 2879, 3755, 1770, 5420, 5655]","[0.31, 0.0, 0.25, 0.34, 0.0, 0.29, 0.63, 0.75, 0.75, 0.15, 0.39, 0.36, 0.71, 0.35, 0.32, 0.26, 0.73, 0.0, 0.64, 0.29, 0.0, 0.0, 0.66, 0.76, 0.3, 0.8, 0.18, 0.31, 0.34, 0.75, 0.0, 0.36, 0.0, 1.0, 1.0, 0.75, 0.23, 0.63, 0.75, 0.84, 0.29, 0.26, 0.84, 1.0, 0.8, 1.0, 0.8, 0.74, 0.0, 0.0, 1.0, 0.74, 1.0, 0.67, 0.28, 0.2, 0.75, 0.0, 0.66, 0.0, 0.34, 0.2, 0.0, 0.83, 0.3, 0.18, 0.89, 0.25, 0.75, 0.24, 0.5, 0.31, 0.64, 1.0, 0.77]"
2,1200168,0.497,0.139,0,2025-02-22 14:17:02.819088,"['32215', '32216', '32217', '32218', '32220', '32221', '32222', '32224', '32231', '32232', '32234', '32235', '32243', '32244', '32247', '32248', '32249', '32251', '32257', '32263', '32266', '32270', '32271', '32274', '32277', '32281', '32282', '32284', '32286', '32287']","[185, 2378, 5614, 5906, 835, 2551, 3052, 4663, 179, 1331, 4884, 4299, 5597, 1249, 216, 1553, 650, 5420, 4000, 838, 325, 5675, 117, 539, 3666, 2943, 628, 5800, 1786, 253, 4954, 814, 712, 5195, 5098, 4883]","[0.3, 1.0, 0.0, 0.0, 1.0, 0.28, 0.0, 0.0, 0.0, 0.13, 0.25, 0.34, 0.72, 0.37, 0.33, 0.28, 0.72, 0.0, 1.0, 0.3, 0.0, 1.0, 0.63, 0.78, 0.32, 0.77, 0.17, 0.36, 0.31, 1.0, 0.75, 0.38, 0.6, 0.25, 0.0, 1.0, 0.23, 1.0, 0.64, 0.84, 0.29, 0.23, 0.83, 1.0, 0.8, 0.73, 0.83, 0.72, 0.64, 1.0, 0.64, 0.72, 1.0, 0.71, 0.27, 0.23, 0.0, 0.25, 0.66, 0.38, 0.0, 0.2, 0.62, 0.17, 0.26, 0.22, 0.91, 1.0, 0.5, 0.21, 0.75, 0.3, 0.5, 0.75, 0.78]"
3,1613055,0.405,0.472,0,2025-02-22 14:17:03.109465,"['32215', '32216', '32218', '32222', '32225', '32231', '32234', '32235', '32242', '32243', '32244', '32246', '32247', '32248', '32249', '32252', '32257', '32259', '32262', '32263', '32264', '32266', '32267', '32270', '32273', '32276', '32277', '32281', '32284', '32287']","[2586, 557, 3604, 2096, 4663, 3158, 5614, 5236, 3819, 4033, 4846, 253, 2505, 4672, 2551, 4119, 185, 3326, 5888, 880, 3052, 3139, 5760, 3308, 1396, 5385, 2744, 825, 506, 5123, 2050, 4557, 3656, 838, 3761, 2097]","[0.3, 0.0, 1.0, 0.25, 0.25, 0.3, 0.68, 0.36, 0.75, 0.18, 0.36, 0.25, 0.73, 0.32, 0.33, 0.24, 0.73, 0.75, 0.66, 0.26, 0.0, 1.0, 0.65, 0.72, 0.29, 0.82, 0.2, 0.3, 0.0, 0.25, 0.25, 0.37, 0.0, 0.75, 0.75, 1.0, 0.22, 0.66, 0.25, 0.85, 0.29, 0.29, 0.85, 0.75, 0.8, 1.0, 0.78, 0.75, 0.0, 0.0, 0.75, 0.77, 0.75, 1.0, 0.28, 0.18, 0.75, 0.65, 0.64, 0.25, 0.29, 0.19, 0.33, 0.67, 0.34, 0.16, 0.88, 0.25, 0.66, 0.27, 0.75, 0.33, 0.67, 0.75, 0.81]"
4,1102725,0.413,0.333,0,2025-02-22 14:17:03.394960,"['32215', '32216', '32217', '32218', '32221', '32222', '32224', '32231', '32234', '32235', '32243', '32244', '32246', '32247', '32248', '32249', '32252', '32257', '32263', '32264', '32266', '32270', '32271', '32273', '32276', '32277', '32281', '32282', '32284', '32287']","[1249, 786, 835, 3263, 5123, 5692, 185, 3406, 5256, 2943, 391, 2831, 1316, 5654, 712, 188, 2801, 3951, 5906, 4033, 3084, 5899, 3248, 4083, 4396, 4846, 2505, 295, 2640, 2761, 5541, 214, 2838, 4000, 1787, 5614]","[0.33, 0.75, 1.0, 0.0, 0.25, 0.27, 0.62, 1.0, 0.75, 0.14, 0.75, 0.34, 0.68, 0.37, 0.3, 0.28, 0.76, 0.75, 0.62, 0.31, 0.75, 0.75, 0.71, 0.8, 0.3, 0.79, 0.14, 0.28, 0.28, 0.25, 1.0, 0.3, 0.75, 0.0, 0.75, 0.25, 0.28, 0.62, 0.0, 0.85, 0.3, 0.28, 0.86, 1.0, 0.83, 0.68, 0.77, 0.77, 0.63, 0.25, 0.25, 0.7, 0.75, 0.7, 0.3, 0.18, 0.75, 1.0, 0.71, 0.0, 0.35, 0.21, 0.83, 0.5, 0.28, 0.19, 0.88, 0.75, 1.0, 0.24, 1.0, 0.3, 0.65, 0.0, 0.7]"
5,665949,0.37,0.639,5,2025-02-22 14:17:03.747033,"['32215', '32217', '32218', '32225', '32226', '32227', '32228', '32233', '32236', '32240', '32243', '32244', '32245', '32246', '32248', '32250', '32251', '32255', '32258', '32261', '32265', '32268', '32271', '32277', '32279', '32280', '32281', '32283', '32286', '32287']","[539, 4003, 5195, 835, 786, 637, 2840, 506, 3052, 617, 990, 4723, 2505, 4796, 2612, 3703, 557, 216, 3682, 4033, 2744, 882, 1466, 185, 823, 5614, 911, 1553, 4226, 179, 1706, 117, 3951, 5236, 2847, 5658]","[0.34, 0.25, 0.75, 0.25, 0.25, 0.73, 0.76, 0.19, 0.75, 0.74, 0.29, 0.75, 0.25, 0.25, 0.25, 0.21, 0.68, 0.32, 0.84, 0.75, 0.15, 0.63, 0.75, 0.77, 0.32, 0.87, 0.75, 0.08, 0.15, 0.25, 0.75, 0.0, 0.75, 0.72, 0.75, 0.72, 0.75, 0.75, 0.32, 0.87, 0.11, 0.75, 0.68, 0.83, 0.25, 0.35, 0.27, 0.75, 0.84, 0.25, 0.69, 0.25, 0.85, 0.34, 0.25, 0.26, 0.34, 0.75, 0.32, 0.25, 0.29, 0.78, 0.31, 0.33, 0.14, 0.67, 0.67, 0.5, 0.71, 0.5, 0.81, 0.31, 0.5, 0.0, 0.73]"
6,863756,0.505,0.222,5,2025-02-22 14:17:04.041172,"['32214', '32215', '32217', '32218', '32225', '32226', '32227', '32228', '32236', '32238', '32243', '32244', '32245', '32246', '32248', '32250', '32251', '32255', '32256', '32258', '32261', '32265', '32267', '32268', '32277', '32280', '32281', '32283', '32286', '32287']","[5614, 3656, 4663, 990, 5597, 5800, 3106, 4062, 4622, 2586, 4322, 4954, 1466, 301, 4672, 2505, 4455, 814, 5123, 3052, 5279, 1822, 4520, 2060, 4442, 3406, 253, 2058, 2640, 835, 5541, 3316, 4299, 4846, 4611, 857]","[1.0, 0.75, 0.7, 0.75, 1.0, 0.83, 0.82, 0.17, 0.7, 0.72, 0.27, 0.25, 0.0, 0.75, 0.0, 0.27, 0.69, 0.29, 0.8, 0.66, 0.14, 0.67, 0.0, 0.7, 0.75, 0.85, 0.73, 0.09, 0.12, 0.25, 0.0, 0.25, 0.75, 0.73, 1.0, 0.73, 1.0, 0.75, 0.32, 0.86, 0.12, 0.25, 1.0, 0.77, 0.75, 0.24, 0.34, 0.0, 0.77, 0.3, 0.69, 1.0, 0.86, 0.75, 0.0, 0.2, 0.32, 0.35, 0.28, 0.24, 0.27, 0.81, 0.31, 0.33, 0.09, 0.66, 1.0, 0.5, 0.66, 0.5, 0.83, 0.27, 0.5, 0.75, 0.81]"
7,964510,0.409,0.167,5,2025-02-22 14:17:04.336774,"['32214', '32215', '32218', '32225', '32226', '32228', '32233', '32236', '32238', '32240', '32245', '32246', '32248', '32250', '32251', '32255', '32256', '32258', '32261', '32264', '32265', '32267', '32268', '32270', '32271', '32276', '32279', '32280', '32283', '32286']","[4322, 835, 2640, 3052, 2943, 506, 4442, 5614, 4547, 857, 216, 1531, 117, 786, 990, 5800, 3703, 3029, 5208, 2060, 1942, 4003, 3561, 3951, 3406, 5541, 4299, 5238, 3474, 5364, 539, 3285, 3263, 1098, 1466, 3124]","[0.75, 1.0, 0.71, 0.68, 0.75, 0.88, 0.83, 0.19, 0.71, 0.67, 0.29, 0.75, 0.25, 0.75, 0.75, 0.27, 0.7, 0.31, 0.77, 0.25, 0.16, 0.67, 0.25, 0.72, 1.0, 0.85, 1.0, 0.11, 0.15, 0.67, 0.67, 0.25, 0.75, 0.68, 0.25, 0.68, 0.25, 0.75, 0.31, 0.83, 0.13, 0.75, 0.75, 0.75, 0.75, 0.22, 0.33, 0.0, 0.77, 0.29, 0.75, 1.0, 0.84, 0.75, 0.0, 0.22, 0.25, 0.75, 0.27, 0.23, 0.25, 0.8, 0.83, 0.33, 0.16, 0.17, 0.67, 0.67, 0.68, 0.25, 0.83, 0.31, 0.5, 0.33, 0.84]"
8,626265,0.463,0.167,5,2025-02-22 14:17:04.640968,"['32214', '32215', '32217', '32218', '32225', '32226', '32227', '32228', '32233', '32236', '32238', '32243', '32244', '32245', '32246', '32248', '32250', '32251', '32255', '32258', '32261', '32265', '32267', '32268', '32277', '32280', '32281', '32283', '32286', '32287']","[2505, 3052, 3703, 1466, 4663, 185, 4611, 1955, 990, 3656, 539, 4062, 2847, 4622, 346, 617, 2586, 3285, 4846, 4003, 5614, 9, 5195, 4954, 4033, 835, 1553, 2776, 823, 4953, 5758, 388, 374, 5216, 5597, 2263]","[1.0, 0.25, 0.72, 0.0, 0.75, 0.82, 0.8, 0.18, 0.72, 0.72, 0.28, 0.0, 0.0, 1.0, 0.0, 0.25, 0.69, 0.3, 0.81, 1.0, 0.14, 0.66, 0.25, 0.73, 0.0, 0.86, 0.7, 0.09, 0.13, 1.0, 0.25, 1.0, 1.0, 0.72, 0.75, 0.72, 1.0, 1.0, 0.32, 0.86, 0.12, 1.0, 0.65, 0.78, 1.0, 0.26, 0.32, 1.0, 0.79, 0.28, 0.69, 1.0, 0.86, 0.75, 0.25, 0.22, 0.33, 0.36, 0.29, 0.24, 0.27, 0.8, 0.31, 0.33, 0.12, 0.64, 1.0, 0.75, 0.68, 0.25, 0.82, 0.29, 0.5, 0.5, 0.8]"
9,1070975,0.402,0.167,5,2025-02-22 14:17:04.982391,"['32214', '32215', '32218', '32225', '32226', '32228', '32233', '32236', '32243', '32244', '32245', '32246', '32248', '32250', '32251', '32255', '32256', '32258', '32261', '32265', '32267', '32268', '32271', '32277', '32279', '32280', '32281', '32283', '32286', '32287']","[2847, 4003, 4299, 4455, 5597, 3656, 3666, 5614, 4622, 3106, 4127, 1331, 4846, 4611, 990, 5208, 2664, 1374, 3532, 1466, 2236, 2505, 4000, 2097, 3052, 814, 857, 4062, 216, 2601, 4663, 5195, 3316, 2050, 5844, 4325]","[0.0, 0.25, 0.74, 0.65, 1.0, 0.83, 0.8, 0.2, 0.74, 0.7, 0.29, 0.0, 0.75, 0.7, 0.25, 0.24, 0.7, 0.32, 0.8, 1.0, 0.16, 0.65, 0.0, 0.76, 0.32, 0.86, 0.65, 0.1, 0.16, 1.0, 1.0, 0.0, 0.75, 0.68, 1.0, 0.68, 1.0, 0.25, 0.32, 0.85, 0.12, 1.0, 1.0, 0.79, 1.0, 0.28, 0.29, 0.0, 0.81, 0.26, 0.66, 1.0, 0.84, 1.0, 0.25, 0.25, 0.34, 1.0, 0.29, 0.24, 0.26, 0.78, 0.34, 0.0, 0.17, 0.17, 0.83, 0.5, 0.7, 0.0, 0.82, 0.32, 0.75, 0.5, 0.79]"
